CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KGYY
AFGHANISTAN,0.00012012150752491944,0.0
ALBANIA,0.00025294817449959,0.001066585403016913
ALGERIA,2.2522782660922395e-05,0.0
AMERICAN SAMOA,5.775072477159588e-07,0.0
ANGOLA,4.6778087064992665e-05,3.8092335822032604e-05
ANTIGUA & BARBUDA,8.085101468023424e-06,0.0
ARGENTINA,9.182365238683746e-05,3.8092335822032604e-05
ARMENIA,0.0001628570438559004,0.00022855401493219565
ARUBA,5.775072477159588e-07,0.0
AUSTRALIA,6.352579724875547e-06,0.0
AUSTRIA,5.775072477159589e-06,0.0
AZERBAIJAN,1.3282666697467054e-05,3.8092335822032604e-05
BAHAMAS,9.933124660714492e-05,0.0
BAHRAIN,2.8875362385797943e-06,0.0
BANGLADESH,0.001610667713879809,0.0031235715374066737
BARBADOS,2.887536238579794e-05,3.8092335822032604e-05
BELARUS,1.1550144954319177e-05,0.0
BELGIUM,1.1550144954319177e-06,0.0
BELIZE,0.00014264429018584184,0.00011427700746609783
BENIN,6.930086972591506e-06,0.0
BERMUDA,4.042550734011712e-06,0.0
BHUTAN,1.7325217431478764e-06,0.0
BOLIVIA,0.00011723397128633964,0.0
BOSNIA,5.255315954215225e-05,0.00022855401493219565
BOTSWANA,1.7325217431478764e-06,0.0
BRAZIL,0.0011451968722207464,0.001637970440347402
BRITISH VIRGIN ISLANDS,4.042550734011712e-06,0.0
BULGARIA,3.6960463853821366e-05,7.618467164406521e-05
BURKINA FASO,6.0638261010175676e-05,0.00011427700746609783
BURMA,5.717321752387993e-05,0.00011427700746609783
BURUNDI,1.3860173945183011e-05,0.0
CAMBODIA,0.0013837073655274374,0.0006856620447965869
CAMEROON,0.0006756834798276718,0.0004952003656864239
CANADA,0.00019866249321428983,7.618467164406521e-05
CAPE VERDE,5.370817403758417e-05,0.0
CAYMAN ISLANDS,1.1550144954319177e-06,0.0
CENTRAL AFRICAN REPUBLIC,6.930086972591506e-06,0.0
CHAD,1.2705159449751094e-05,0.0
CHILE,5.601820302844801e-05,0.0
CHINA,0.0025727947885745965,0.0069708974554319675
COLOMBIA,0.008385405236835721,0.0020188937985677283
CONGO,4.7933101560424584e-05,3.8092335822032604e-05
COSTA RICA,0.00014437681192898971,0.0
COTE D'IVORIE (IVORY COAST),8.893611614825765e-05,3.8092335822032604e-05
CROATIA,5.775072477159589e-06,0.0
CUBA,0.0021125215121449775,0.007237543806186195
CYPRUS,5.775072477159588e-07,0.0
CYPRUSS,4.620057981727671e-06,0.0
CZECH REPUBLIC,4.6778087064992665e-05,0.0
DEMOCRATIC REPUBLIC OF CONGO,0.000126474087249795,0.00026664635075422823
DENMARK,1.2127652202035135e-05,0.0
DJIBOUTI,1.1550144954319177e-06,3.8092335822032604e-05
DOMINICA,9.240115963455341e-06,0.0
DOMINICAN REPUBLIC,0.018308712274339042,0.002323632485143989
EAST TIMOR,1.1550144954319177e-06,3.8092335822032604e-05
EAST TIMOR-INDONESIA,2.0790260917774517e-05,0.00026664635075422823
ECUADOR,0.014833851164832119,0.007237543806186195
ECUATORIAL GUINEA,5.775072477159588e-07,0.0
EGYPT,8.778110165282574e-05,0.00011427700746609783
EL SAL,1.1550144954319177e-06,0.0
EL SALVADOR,0.14807632335785814,0.11724820966021636
EQUATORIAL GUINEA,1.7325217431478764e-06,0.0
ERITREA,0.0006352579724875548,0.0009142160597287826
ESTONIA,1.2127652202035135e-05,0.00011427700746609783
ETHIOPIA,0.0002737384354173645,3.8092335822032604e-05
FEDERATED STATES OF MICRONESIA,2.8875362385797943e-06,0.0
FIJI,4.2158029083265e-05,3.8092335822032604e-05
FINLAND,2.8875362385797943e-06,0.0
FRANCE,4.389055082641287e-05,0.0
GABON,3.465043486295753e-06,0.0
GAMBIA,0.00041060765312604674,0.0005713850373304891
GEORGIA,4.966562330357246e-05,7.618467164406521e-05
GERMANY,3.349542036752561e-05,0.0
GHANA,0.0012300904376349924,0.0012951394179491085
GREECE,1.443768119289897e-05,0.00019046167911016305
GREENLAND,1.0972637706603218e-05,0.0
GRENADA,1.0395130458887258e-05,0.0
GUADELOUPE,5.775072477159588e-07,0.0
GUAM,1.7325217431478764e-06,0.0
GUATEMALA,0.2431934995784197,0.13218040530245315
GUINEA,0.000616777740560644,0.0006475697089745543
GUINEA BISSAU,8.662608715739382e-06,0.0
GUYANA,0.00022638284110465586,7.618467164406521e-05
HAITI,0.01346053892976357,0.012799024836202957
HONDURAS,0.1755160027258342,0.13777997866829195
HONG KONG,5.024313055128842e-05,0.00011427700746609783
HUNGARY,3.638295660610541e-05,0.0
ICELAND,1.1550144954319177e-06,0.0
INDIA,0.005169844881553263,0.0061709584031692825
INDONESIA,3.753797110153732e-05,0.00026664635075422823
IRAN,4.3313043578696915e-05,0.0
IRAQ,0.0004308204067961053,0.00019046167911016305
IRELAND,1.2127652202035135e-05,0.0
ISRAEL,5.717321752387993e-05,0.00015236934328813042
ITALY,6.756834798276718e-05,0.0
IVORY COAST,1.3282666697467054e-05,0.0
JAMAICA,0.007390937756268841,0.0015998781045253696
JAPAN,1.3860173945183011e-05,0.0
JORDAN,6.410330449647143e-05,0.00011427700746609783
KAZAKSTAN,1.443768119289897e-05,0.0
KENYA,0.00024197553679298676,0.00026664635075422823
KOREA,5.197565229443629e-06,0.0
KOSOVO,1.8480231926910683e-05,7.618467164406521e-05
KUWAIT,3.465043486295753e-06,0.0
KYRGYSTAN,2.541031889950219e-05,3.8092335822032604e-05
LAOS,8.951362339597362e-05,0.0
LATVIA,6.930086972591506e-06,0.0
LEBANON,5.370817403758417e-05,0.0
LIBERIA,0.00061735524780836,0.0009523083955508152
LIBYA,5.775072477159589e-06,0.0
LITHUANIA,1.443768119289897e-05,3.8092335822032604e-05
LUXEMBURG,5.775072477159588e-07,0.0
MACAU,3.465043486295753e-06,0.0
MACEDONIA,1.6747710183762805e-05,0.0
MADAGASCAR,2.3100289908638354e-06,0.0
MALAWI,5.197565229443629e-06,0.0
MALAYSIA,1.0972637706603218e-05,0.0
MALI,0.00010106376835029279,0.00022855401493219565
MALTA,5.775072477159588e-07,0.0
MARSHAL ISLANDS,2.3100289908638354e-06,0.0
MARSHALL ISLANDS,1.1550144954319177e-06,0.0
MARTINIQUE,7.507594220307465e-06,0.0
MAURITANIA,7.392092770764273e-05,0.0
MEXIC,5.775072477159588e-07,0.0
MEXICO,0.32780581896302796,0.53279750114277
MICRONESIA,5.775072477159588e-07,0.0
MOLDOVA,4.0425507340117115e-05,3.8092335822032604e-05
MONGOLIA,2.2522782660922395e-05,0.0
MONTENEGRO,8.085101468023424e-06,0.0
MOROCCO,4.7933101560424584e-05,0.0
MOZAMBIQUE,7.507594220307465e-06,0.0
MYANMAR,2.8875362385797943e-06,3.8092335822032604e-05
NAMBIA,1.1550144954319177e-06,0.0
NAMIBIA,2.8875362385797943e-06,0.0
NEPAL,0.001051640698090761,0.0013332317537711413
NETHERLANDS,1.9057739174626642e-05,3.8092335822032604e-05
NEW ZEALAND,5.8328232019311846e-05,0.0
NICARAGUA,0.010786102865590964,0.009218345268931892
NIGER,0.000140334261194978,7.618467164406521e-05
NIGERIA,0.0006803035378093995,0.0004571080298643913
NORWAY,1.7325217431478764e-06,0.0
OMAN,1.7325217431478764e-06,0.0
PAKISTAN,0.0005486318853301609,0.0009523083955508152
PALAU,2.8875362385797943e-06,3.8092335822032604e-05
PALESTINE,1.443768119289897e-05,3.8092335822032604e-05
PALESTINIAN,2.3100289908638354e-06,0.0
PANAMA,7.44984349553587e-05,3.8092335822032604e-05
PAPUA NEW GUINEA,5.775072477159588e-07,0.0
PARAGUAY,1.2127652202035135e-05,0.0
PERU,0.0008362304946927084,0.0011427700746609781
PHILIPPINES,0.0002454405802792825,7.618467164406521e-05
POLAND,7.392092770764273e-05,0.00026664635075422823
PORTUGAL,4.851060880814054e-05,0.0
PUERTO RICO,5.775072477159588e-07,0.0
QATAR,5.775072477159589e-06,3.8092335822032604e-05
ROMANIA,0.0002298478845909516,0.00011427700746609783
RUSSIA,0.00020732510193002923,0.00026664635075422823
RWANDA,3.349542036752561e-05,0.00022855401493219565
SAMOA,1.3860173945183011e-05,0.0
SAUDI ARABIA,2.887536238579794e-05,0.0
SENEGAL,0.0004978112475311565,0.0007999390522626848
SERBIA,1.559269568833089e-05,0.0003809233582203261
SERRA LEONE,2.7142840642650067e-05,0.0
SIERRA LEONE,0.0002512156527564421,7.618467164406521e-05
SINGAPORE,5.775072477159589e-06,0.0
SLOVAKIA,1.0395130458887258e-05,0.0
SLOVENIA,2.8875362385797943e-06,0.0
SOMALIA,0.0015355917716767344,0.0010284930671948804
SOUTH AFRICA,2.2522782660922395e-05,0.0
SOUTH KOREA,4.90881160558565e-05,0.0
SOUTH SUDAN,0.00018826736275540259,3.8092335822032604e-05
SPAIN,5.139814504672033e-05,0.00011427700746609783
SRI LANKA,0.00024486307303156653,0.0
ST VINCENT,2.3100289908638354e-06,0.0
ST. KITTS-NEVIS,1.2705159449751094e-05,0.0
ST. LUCIA,7.507594220307465e-06,0.0
ST. VINCENT & THE GRENADINES,5.775072477159589e-06,0.0
STATELESS,1.7902724679194724e-05,0.0
SUDAN,0.000126474087249795,3.8092335822032604e-05
SURINAME,5.775072477159589e-06,0.0
SWEDEN,5.775072477159589e-06,0.0
SYRIA,6.410330449647143e-05,0.00011427700746609783
TAIWAN,1.8480231926910683e-05,0.0
TAJIKISTAN,1.2127652202035135e-05,0.0
TANZANIA,4.100301458783308e-05,3.8092335822032604e-05
THAILAND,5.8328232019311846e-05,3.8092335822032604e-05
TOGO,8.200602917566616e-05,3.8092335822032604e-05
TONGA,1.1550144954319177e-05,3.8092335822032604e-05
TRINIDAD,0.00010683884082745238,0.0
TRINIDAD & TOBAGO,8.83586089005417e-05,3.8092335822032604e-05
TUNISIA,8.662608715739382e-06,0.0
TURKEY,0.00011838898578177157,0.00015236934328813042
TURKMENISTAN,5.775072477159588e-07,0.0
TURKS & CAICOS ISLANDS,7.507594220307465e-06,0.0
UGANDA,3.465043486295753e-05,0.0
UKRAINE,0.00020501507293916538,0.00015236934328813042
UNITED ARAB EMIRATES,2.8875362385797943e-06,0.0
UNITED KINGDOM,9.471118862541726e-05,3.8092335822032604e-05
UNITED STATES OF AMERICA,4.620057981727671e-06,0.0
UNKNOWN,5.717321752387993e-05,3.8092335822032604e-05
URUGUAY,3.2917913119809654e-05,0.0
UZBEKISTAN,7.103339146906293e-05,0.00011427700746609783
VENEZUELA,0.0002598782614721815,0.0003809233582203261
VIETNAM,0.0004672033634022107,7.618467164406521e-05
VIRGIN ISLANDS,2.3100289908638354e-06,3.8092335822032604e-05
YEMEN,3.1762898624377735e-05,0.0
YUGOSLAVIA,1.0972637706603218e-05,3.8092335822032604e-05
ZAMBIA,1.7902724679194724e-05,0.0
ZIMBABWE,2.1945275413206436e-05,0.00011427700746609783
