,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total
KDEN,Denver International Airport,Denver,CO,USA,39.858,-104.667,2272.0,2394.0,1292.0,467.0,398.0,302.0,516.0,986.0,299.0,775.0,2419.0,3370.0,2647.0,2578.0,3165.0,4275.0,2568.0,3014.0,3121.0,2434.0,2009.0,1795.0,2367.0,2967.0,3.0,155.0,590.0,1403.0,1036.0,1085.0,1314.0,2294.0,57.0,84.0,70.0,51.0,48.0,51.0,53.0,55.0,3.0,10.0,22.0,42.0,29.0,40.0,47.0,50.0,2571.0,3169.0,3711.0,3837.0,3045.0,2880.0,3681.0,5261.0
KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.896,-97.037,18.0,119.0,0.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,18.0,119.0,0.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,18.0,119.0,0.0,0.0,0.0,0.0,0.0,51.0
KDTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,USA,42.212,-83.353,82.0,0.0,99.0,,,,,,42.0,0.0,38.0,,,,,,124.0,0.0,133.0,,,,,,,,4.0,,,,,,1.0,0.0,2.0,,,,,,,,1.0,,,,,,124.0,0.0,137.0,,,,,
KELP,El Paso International Airport,El Paso,TX,USA,31.807,-106.378,11483.0,13380.0,14806.0,15609.0,15757.0,18284.0,14467.0,16583.0,6458.0,12606.0,11363.0,17282.0,13748.0,16328.0,11902.0,9921.0,11823.0,15793.0,16520.0,17656.0,16921.0,20874.0,18027.0,16707.0,6118.0,10194.0,9649.0,15244.0,12584.0,13738.0,8342.0,9797.0,367.0,365.0,288.0,255.0,254.0,289.0,244.0,226.0,224.0,312.0,262.0,321.0,240.0,216.0,151.0,176.0,17941.0,25986.0,26169.0,32891.0,29505.0,34612.0,26369.0,26504.0
KEWR,Newark Liberty International Airport,Newark,NJ,USA,40.692,-74.169,55.0,2192.0,1247.0,1288.0,482.0,187.0,542.0,954.0,,5714.0,6979.0,8721.0,4095.0,4389.0,5288.0,3826.0,55.0,6996.0,5941.0,4880.0,2650.0,2289.0,4238.0,3523.0,,910.0,2285.0,5129.0,1927.0,2287.0,1592.0,1257.0,1.0,79.0,67.0,75.0,74.0,68.0,85.0,82.0,,59.0,58.0,90.0,73.0,75.0,72.0,70.0,55.0,7906.0,8226.0,10009.0,4577.0,4576.0,5830.0,4780.0
KFTW,Fort Worth Meacham International Airport,Fort Worth,TX,USA,32.82,-97.362,,,,,,,,1040.0,,,,,,,,3.0,,,,,,,,1040.0,,,,,,,,3.0,,,,,,,,34.0,,,,,,,,3.0,,,,,,,,1043.0
KGFK,Grand Forks International Airport,Grand Forks,ND,USA,47.949,-97.176,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
KGRK,Robert Gray  Army Air Field Airport,Fort Hood,TX,USA,31.067,-97.829,,,263.0,,,,,,,,,,,,,,,,263.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,263.0,,,,,
KGYY,Gary Chicago International Airport,Gary,IN,USA,41.616389,-87.412778,,,449.0,3165.0,1302.0,390.0,558.0,1056.0,,,538.0,6193.0,2150.0,3155.0,3487.0,2927.0,,,531.0,4195.0,2842.0,2872.0,3603.0,3205.0,,,456.0,5163.0,610.0,673.0,442.0,778.0,,,15.0,92.0,55.0,51.0,53.0,47.0,,,15.0,101.0,30.0,39.0,33.0,41.0,,,987.0,9358.0,3452.0,3545.0,4045.0,3983.0
KHRL,Valley International Airport,Harlingen,TX,USA,26.228,-97.654,66486.0,90974.0,80147.0,4503.0,0.0,131.0,,,1458.0,9133.0,19007.0,1545.0,0.0,19.0,,,11393.0,43786.0,65283.0,4513.0,0.0,19.0,,,56551.0,56455.0,34007.0,1535.0,0.0,131.0,,,268.0,505.0,680.0,54.0,0.0,1.0,,,614.0,642.0,454.0,23.0,0.0,1.0,,,67944.0,100107.0,99154.0,6048.0,0.0,150.0,,
KHST,Homestead ARB Airport,Homestead,FL,USA,25.488000000000003,-80.384,66.0,45.0,,,,,,,,,,,,,,,,,,,,,,,66.0,45.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,66.0,45.0,,,,,,
KIAD,Washington Dulles International Airport,Washington Dc - Dulles,DC,USA,38.944,-77.456,,,,,,,,,,65.0,,,,,,,,65.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,65.0,,,,,,
KIAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.107,-78.946,7.0,23.0,30.0,0.0,16.0,46.0,,,,,,,,,,,7.0,23.0,30.0,0.0,16.0,46.0,,,,,,,,,,,1.0,4.0,1.0,0.0,2.0,6.0,,,,,,,,,,,7.0,23.0,30.0,0.0,16.0,46.0,,
KIAH,George Bush Intercontinental Houston Airport,Houston,TX,USA,29.98,-95.34,7340.0,8023.0,7172.0,6766.0,4084.0,4049.0,3765.0,7024.0,964.0,241.0,27.0,131.0,29.0,71.0,773.0,742.0,7448.0,8109.0,7179.0,6872.0,4112.0,4075.0,3997.0,7024.0,857.0,313.0,20.0,25.0,1.0,45.0,541.0,742.0,136.0,148.0,123.0,104.0,72.0,75.0,80.0,110.0,14.0,10.0,9.0,5.0,1.0,4.0,9.0,15.0,8305.0,8264.0,7199.0,6897.0,4113.0,4120.0,4538.0,7766.0
KIWA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,USA,33.3078333,-111.6554722,21920.0,22518.0,20418.0,19101.0,12164.0,15231.0,15808.0,22905.0,17792.0,16570.0,15977.0,15802.0,10316.0,15784.0,17689.0,20584.0,24242.0,25441.0,24837.0,22116.0,14811.0,22879.0,23216.0,32102.0,15654.0,13852.0,11818.0,12961.0,7705.0,8152.0,10298.0,11506.0,586.0,578.0,484.0,444.0,369.0,376.0,434.0,497.0,488.0,471.0,361.0,286.0,202.0,189.0,212.0,210.0,39713.0,39088.0,36395.0,34903.0,22480.0,31015.0,33497.0,43489.0
KJAX,Jacksonville International Airport,Jacksonville,FL,USA,30.494,-81.688,,,,,,,167.0,153.0,343.0,81.0,0.0,0.0,0.0,0.0,1714.0,2601.0,,81.0,0.0,0.0,0.0,0.0,1241.0,548.0,343.0,0.0,0.0,0.0,0.0,0.0,640.0,2206.0,,3.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,343.0,81.0,0.0,0.0,0.0,0.0,1881.0,2754.0
KKBL,Hamid Karzai International Airport,Kabul,,Afghanistan,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,1.0,,,,,,,,22.0,
KLAS,McCarran International Airport,Las Vegas,NV,USA,36.08,-115.152,1910.0,2216.0,1459.0,316.0,169.0,287.0,1183.0,1538.0,573.0,570.0,1740.0,2166.0,1710.0,2585.0,1554.0,742.0,2334.0,2638.0,2843.0,2276.0,1806.0,2336.0,2212.0,2061.0,149.0,148.0,356.0,206.0,73.0,536.0,525.0,219.0,93.0,87.0,80.0,59.0,46.0,49.0,51.0,49.0,43.0,62.0,57.0,46.0,30.0,37.0,45.0,24.0,2483.0,2786.0,3199.0,2482.0,1879.0,2872.0,2737.0,2280.0
KLAW,Lawton Fort Sill Regional Airport,Lawton,OK,USA,34.567778000000004,-98.416389,,,,,,,,,,,,1876.0,,,,,,,,,,,,,,,,1876.0,,,,,,,,,,,,,,,,15.0,,,,,,,,1876.0,,,,
KLIT,Adams Field,Little Rock,AR,USA,34.729,-92.224,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
KLRD,Laredo International Airport,Laredo,TX,USA,27.544,-99.461,16297.0,12298.0,8290.0,11566.0,10884.0,11321.0,10362.0,7753.0,346.0,1659.0,837.0,3796.0,1262.0,1489.0,1329.0,1962.0,1096.0,3293.0,2682.0,10434.0,9982.0,11341.0,9640.0,6479.0,15547.0,10664.0,6445.0,4928.0,2164.0,1469.0,2061.0,3236.0,45.0,68.0,51.0,142.0,129.0,127.0,129.0,108.0,175.0,141.0,84.0,68.0,42.0,40.0,49.0,51.0,16643.0,13957.0,9127.0,15362.0,12146.0,12810.0,11691.0,9715.0
KMCI,Kansas City International Airport,Kansas City,MO,USA,39.297,-94.714,1775.0,1609.0,1444.0,1377.0,413.0,274.0,659.0,762.0,636.0,549.0,511.0,795.0,454.0,721.0,431.0,468.0,2405.0,2153.0,1946.0,2126.0,859.0,847.0,1081.0,1221.0,6.0,5.0,9.0,46.0,8.0,148.0,9.0,9.0,53.0,52.0,50.0,48.0,30.0,29.0,40.0,45.0,6.0,5.0,6.0,7.0,7.0,12.0,6.0,9.0,2411.0,2158.0,1955.0,2172.0,867.0,995.0,1090.0,1230.0
KMDT,Harrisburg International Airport,Harrisburg,PA,USA,40.19300000000001,-76.763,6965.0,4976.0,3573.0,2022.0,2568.0,2415.0,2115.0,1539.0,14153.0,8438.0,10668.0,8672.0,5368.0,5370.0,5993.0,5250.0,20578.0,11659.0,10315.0,7447.0,6333.0,6112.0,7023.0,6020.0,540.0,1755.0,3926.0,3247.0,1603.0,1674.0,1085.0,769.0,185.0,117.0,104.0,84.0,99.0,105.0,107.0,85.0,83.0,67.0,83.0,76.0,78.0,83.0,67.0,67.0,21118.0,13414.0,14241.0,10694.0,7936.0,7786.0,8108.0,6789.0
KMDW,Chicago Midway International Airport,Chicago,IL,USA,41.786,-87.75200000000002,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,1.0,,,,,,,,31.0,
KMEM,Memphis International Airport,Memphis,TN,USA,35.042,-89.977,,,,,,,,,,,,240.0,0.0,0.0,396.0,1902.0,,,,,,,54.0,527.0,,,,240.0,0.0,0.0,342.0,1375.0,,,,,,,1.0,6.0,,,,2.0,0.0,0.0,4.0,11.0,,,,240.0,0.0,0.0,396.0,1902.0
KMHR,Sacramento Mather Airport,Sacramento,CA,USA,38.554,-121.297,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,1.0,,,,,,,,48.0,
KMIA,Miami International Airport,Miami,FL,USA,25.793000000000006,-80.291,9797.0,6893.0,4887.0,4718.0,3376.0,3647.0,4313.0,4871.0,2400.0,2058.0,4813.0,7390.0,4039.0,5511.0,5762.0,2111.0,11000.0,8212.0,6192.0,6262.0,4583.0,4927.0,6926.0,6203.0,1200.0,744.0,3546.0,5857.0,2844.0,4239.0,3156.0,832.0,237.0,206.0,205.0,201.0,160.0,123.0,136.0,151.0,41.0,51.0,62.0,84.0,66.0,62.0,64.0,56.0,12197.0,8951.0,9700.0,12108.0,7415.0,9158.0,10075.0,6982.0
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MN,USA,44.88,-93.217,1809.0,1535.0,1137.0,762.0,527.0,424.0,665.0,672.0,706.0,539.0,514.0,746.0,301.0,476.0,645.0,968.0,2505.0,2070.0,1638.0,1241.0,785.0,770.0,1248.0,1592.0,10.0,4.0,13.0,267.0,43.0,130.0,62.0,48.0,50.0,51.0,35.0,32.0,18.0,25.0,30.0,49.0,5.0,3.0,8.0,13.0,6.0,9.0,15.0,18.0,2515.0,2074.0,1651.0,1508.0,828.0,900.0,1310.0,1640.0
KMWA,Williamson County Regional Airport,Marion,IL,USA,37.755,-89.011111,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
KNJK,El Centro Naf Airport,El Centro,CA,USA,32.829,-115.672,,7487.0,12863.0,,,,,,,2.0,88.0,,,,,,,,84.0,,,,,,,7489.0,12867.0,,,,,,,,4.0,,,,,,,63.0,121.0,,,,,,,7489.0,12951.0,,,,,
KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co),"Oxnard, Pt Magu",CA,USA,34.12,-119.121,,,,,,,,,,,,1177.0,,,,,,,,,,,,,,,,1177.0,,,,,,,,,,,,,,,,10.0,,,,,,,,1177.0,,,,
KNYL,Yuma MCAS/Yuma International Airport,Yuma Naval,AZ,USA,32.656667,-114.606111,5074.0,17692.0,6292.0,,,,,,,1.0,3.0,222.0,108.0,0.0,48.0,,,,,222.0,108.0,0.0,48.0,,5074.0,17693.0,6295.0,,,,,,,,,2.0,1.0,0.0,1.0,,81.0,142.0,56.0,,,,,,5074.0,17693.0,6295.0,222.0,108.0,0.0,48.0,
KOAK,Metropolitan Oakland International Airport,Oakland,CA,USA,37.721,-122.221,9119.0,6397.0,3643.0,1451.0,2046.0,1688.0,1476.0,1032.0,4720.0,3952.0,1574.0,2201.0,707.0,716.0,1197.0,1031.0,13494.0,9856.0,4854.0,2914.0,2593.0,2296.0,2515.0,1979.0,345.0,546.0,363.0,738.0,160.0,108.0,158.0,84.0,243.0,245.0,180.0,87.0,68.0,47.0,50.0,49.0,125.0,147.0,96.0,54.0,29.0,15.0,23.0,20.0,13839.0,10349.0,5217.0,3652.0,2753.0,2404.0,2673.0,2063.0
KOMA,Eppley Airfield,Omaha,NE,USA,41.302,-95.894,1668.0,1266.0,523.0,104.0,468.0,283.0,607.0,486.0,666.0,560.0,297.0,538.0,258.0,443.0,600.0,922.0,2328.0,1818.0,814.0,285.0,685.0,588.0,1187.0,1389.0,6.0,8.0,6.0,357.0,41.0,138.0,20.0,19.0,50.0,52.0,25.0,8.0,22.0,23.0,27.0,48.0,6.0,8.0,5.0,7.0,4.0,8.0,4.0,11.0,2334.0,1826.0,820.0,642.0,726.0,726.0,1207.0,1408.0
KONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.601,1129.0,603.0,0.0,0.0,0.0,0.0,34.0,202.0,1018.0,440.0,247.0,89.0,0.0,0.0,133.0,975.0,1008.0,401.0,7.0,0.0,0.0,0.0,131.0,1003.0,1139.0,642.0,240.0,89.0,0.0,0.0,36.0,174.0,20.0,6.0,1.0,0.0,0.0,0.0,2.0,17.0,18.0,12.0,4.0,2.0,0.0,0.0,2.0,6.0,2147.0,1043.0,247.0,89.0,0.0,0.0,167.0,1177.0
KOPF,Opa-Locka Executive Airport,Miami,FL,USA,25.907,-80.278,,,,,12.0,26.0,,,,,,,,4.0,350.0,,,,,,12.0,30.0,350.0,,,,,,,4.0,,,,,,,2.0,4.0,3.0,,,,,,,1.0,,,,,,,12.0,30.0,350.0,
KORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.979,-87.904,6011.0,5461.0,3390.0,0.0,18.0,10.0,0.0,83.0,1840.0,1392.0,3131.0,0.0,402.0,59.0,0.0,443.0,7826.0,6422.0,4110.0,0.0,399.0,69.0,0.0,441.0,25.0,431.0,2411.0,0.0,21.0,0.0,0.0,85.0,110.0,105.0,86.0,0.0,6.0,1.0,0.0,6.0,18.0,32.0,83.0,0.0,6.0,0.0,0.0,4.0,7851.0,6853.0,6521.0,0.0,420.0,69.0,0.0,526.0
KPAE,Snohomish County (Paine Field) Airport,Everett,WA,USA,47.90600000000001,-122.281,91.0,147.0,,,,,,,41.0,59.0,,,,,,,116.0,203.0,,,,,,,16.0,3.0,,,,,,,2.0,2.0,,,,,,,2.0,1.0,,,,,,,132.0,206.0,,,,,,
KPDX,Portland International Airport,Portland,OR,USA,45.589,-122.597,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,1.0,,,,,,,,124.0
KPSM,Portsmouth International Airport,"Portsmouth, NH",,USA,43.078056,-70.82333299999998,,,,,,,,72.0,,,,,,,,1029.0,,,,,,,,998.0,,,,,,,,103.0,,,,,,,,32.0,,,,,,,,18.0,,,,,,,,1101.0
KRFD,Chicago Rockford International Airport,Rockford,IL,USA,42.195278,-89.097222,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,1.0,,,,,,,,20.0,,,,,
KRIC,Richmond International Airport,Richmond,VA,USA,37.505,-77.319,,,,19.0,0.0,0.0,28.0,136.0,,,,364.0,0.0,30.0,613.0,918.0,,,,109.0,0.0,0.0,370.0,949.0,,,,274.0,0.0,30.0,271.0,105.0,,,,3.0,0.0,0.0,6.0,19.0,,,,6.0,0.0,1.0,6.0,13.0,,,,383.0,0.0,30.0,641.0,1054.0
KRNO,Reno Tahoe International Airport,Reno,NV,USA,39.49800000000001,-119.768,362.0,312.0,127.0,26.0,31.0,74.0,21.0,,345.0,233.0,60.0,179.0,71.0,58.0,34.0,,707.0,542.0,187.0,205.0,102.0,132.0,55.0,,,3.0,,,,,,,42.0,32.0,10.0,10.0,4.0,5.0,2.0,,,3.0,,,,,,,707.0,545.0,187.0,205.0,102.0,132.0,55.0,
KROW,Roswell International Air Center Airport,Roswell,NM,USA,33.301,-104.531,,,,324.0,,,,,,,,28.0,,,,,,,,324.0,,,,,,,,28.0,,,,,,,,10.0,,,,,,,,1.0,,,,,,,,352.0,,,,
KSAN,San Diego International Airport,San Diego,CA,USA,32.733000000000004,-117.189,19644.0,23920.0,16962.0,1987.0,2075.0,1792.0,1856.0,1057.0,7076.0,9864.0,7397.0,5762.0,3677.0,2920.0,4982.0,4464.0,7012.0,15444.0,10023.0,5500.0,3459.0,2614.0,4633.0,3881.0,19708.0,18340.0,14336.0,2251.0,2293.0,2149.0,2205.0,1640.0,195.0,263.0,193.0,98.0,69.0,58.0,65.0,57.0,277.0,295.0,248.0,95.0,68.0,50.0,53.0,48.0,26720.0,33784.0,24359.0,7749.0,5752.0,4712.0,6838.0,5521.0
KSAT,San Antonio International Airport,San Antonio,TX,USA,29.534,-98.47,11633.0,19459.0,16845.0,14008.0,5373.0,4092.0,3591.0,4690.0,1231.0,4542.0,6630.0,9328.0,3064.0,3780.0,2947.0,1149.0,11650.0,23490.0,23240.0,23040.0,8111.0,6783.0,4519.0,5532.0,1242.0,652.0,315.0,440.0,337.0,1092.0,2019.0,341.0,200.0,305.0,306.0,314.0,195.0,197.0,145.0,165.0,32.0,29.0,24.0,19.0,16.0,20.0,30.0,6.0,12866.0,24001.0,23475.0,23336.0,8448.0,7872.0,6538.0,5839.0
KSDM,Brown Field Municipal Airport,San Diego,,USA,32.572222,-116.980278,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,
KSKF,Lackland Air Force Base (Kelly Field Annex) Airport,"San Antonio, Kelly Fld",TX,USA,29.384,-98.581,,,,,,,,,,,,870.0,,,,,,,,246.0,,,,,,,,624.0,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,870.0,,,,
KSLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.788,-111.978,2075.0,1596.0,634.0,108.0,75.0,55.0,35.0,74.0,683.0,648.0,1147.0,2123.0,1030.0,1083.0,927.0,657.0,2374.0,1892.0,1420.0,1453.0,1100.0,938.0,959.0,724.0,384.0,352.0,361.0,778.0,5.0,200.0,3.0,7.0,49.0,51.0,41.0,38.0,30.0,29.0,36.0,26.0,36.0,34.0,16.0,24.0,5.0,10.0,3.0,6.0,2758.0,2244.0,1781.0,2231.0,1105.0,1138.0,962.0,731.0
KSMF,Sacramento International Airport,Sacramento,CA,USA,38.695,-121.591,18.0,,,,,,,,96.0,,,,,,,,114.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,114.0,,,,,,,
KSTL,Lambert St Louis International Airport,St Louis,MO,USA,38.74800000000001,-90.36,,,,5.0,,,,,,,,147.0,,,,,,,,65.0,,,,,,,,87.0,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,152.0,,,,
KTEB,Teterboro Airport,Teterboro,NJ,USA,40.85,-74.061,,7.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7.0,,,,,,
KTOL,Toledo Express Airport,Toledo,OH,USA,41.586806,-83.807833,3913.0,3188.0,2189.0,1907.0,1240.0,726.0,604.0,1395.0,1297.0,1040.0,1136.0,1530.0,696.0,1473.0,2067.0,1843.0,5205.0,4217.0,3199.0,3100.0,1788.0,1499.0,2398.0,3010.0,5.0,11.0,126.0,337.0,148.0,700.0,273.0,228.0,52.0,53.0,46.0,47.0,44.0,46.0,53.0,54.0,3.0,8.0,12.0,20.0,15.0,27.0,30.0,42.0,5210.0,4228.0,3325.0,3437.0,1936.0,2199.0,2671.0,3238.0
KTUS,Tucson International Airport,Tucson,AZ,USA,32.116,-110.941,9133.0,699.0,,,,,,,,,,5126.0,,,,,8665.0,0.0,0.0,3779.0,,,,,468.0,699.0,0.0,1347.0,,,,,77.0,0.0,0.0,32.0,,,,,9.0,8.0,0.0,11.0,,,,,9133.0,699.0,0.0,5126.0,,,,
KTWF,Joslin Field Magic Valley Regional Airport,Twin Falls,ID,USA,42.481667,-114.487778,385.0,,,,,,,,183.0,,,,,,,,568.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,568.0,,,,,,,
KVCV,Southern California Logistics Airport,Victorville,CA,USA,34.593,-117.379,,,,,,,,,,,,34.0,0.0,733.0,540.0,502.0,,,,,,247.0,540.0,143.0,,,,34.0,0.0,486.0,0.0,359.0,,,,,,3.0,4.0,2.0,,,,1.0,0.0,5.0,0.0,3.0,,,,34.0,0.0,733.0,540.0,502.0
KYIP,Willow Run Airport,Detroit,MI,USA,42.238,-83.53,,,86.0,,,,,,,,46.0,,,,,,,,132.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,132.0,,,,,
KYKM,Yakima Air Terminal,Yakima,WA,USA,46.568056,-120.544167,,,,,,,,,,,,,,,241.0,,,,,,,,108.0,,,,,,,,133.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,241.0,
KYNG,Youngston Warren Regional Airport,Vienna Center,,USA,41.261,-80.679,,,,,,,,15.0,,,,,,,469.0,505.0,,,,,,,,15.0,,,,,,,469.0,505.0,,,,,,,,1.0,,,,,,,7.0,14.0,,,,,,,469.0,520.0
LATI,Tirana International Airport Mother Teresa,Tirana,,Albania,41.415,19.721,1.0,2.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,4.0,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,,,1.0,2.0,0.0,0.0,0.0,4.0,,
LEMD,Adolfo Suarez Madrid-Barajas Airport,Madrid,,Spain,40.472,-3.5610000000000004,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,
LFPB,Le Bourget International Airport,Paris,,France,48.969,2.441,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,
