,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total
LHBP,Budapest Liszt Ferenc international Airport,Budapest,,Hungary,47.437,19.256,,2.0,0.0,0.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,4.0,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,2.0,,,2.0,0.0,0.0,1.0,0.0,4.0,
LIRA,Ciampino Airport,Rome,,Italy,41.799,12.595,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,3.0
LKPR,Ruzyn-¢ International Airport,Prague,,Czech Republic,50.101000000000006,14.26,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,
LLBG,Ben Gurion International Airport,Tel Aviv,,Israel,32.009,34.876999999999995,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,
LPPD,João Paulo II Airport,Ponta Delgada,,Portugal,37.741,-25.698,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,
LQSA,Sarajevo International Airport,Sarajevo,,Bosnia,43.824,18.331,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,9.0,1.0
LRBS,Bâneasa International Airport,Bucharest,,Romania,44.503,26.102,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
LROP,Henri Coandâ International Airport,Bucharest,,Romania,44.574,26.103,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,2.0,,,
LTBA,Atatürk International Airport ,Istanbul,,Turkey,40.977,28.821,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,
LUKK,Chisinau International Airport,Chisinau,,Moldova,46.928,28.931,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,2.0,
LWSK,Skopje Alexander the Great Airport,Skopje,,Macedonia,41.96100000000001,21.621,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,
LYBE,Belgrade Nikola Tesla Airport,Belgrade,,Serbia,44.81800000000001,20.309,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
LYPG,Podgorica Airport,Podgorica,,Montenegro,42.359,19.252,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,
LZIB,M. R. Štefánik Airport,Bratislava,,Slovakia,48.17,17.212,,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,
MDSD,Las Americas International Airport,Santo Domingo,,Dominican Republic,18.429,-69.669,2344.0,2281.0,1849.0,1747.0,1552.0,1556.0,1696.0,1523.0,,,,,,1.0,,,,,,,,1.0,,,2344.0,2281.0,1849.0,1747.0,1552.0,1556.0,1696.0,1523.0,,,,,,1.0,,,28.0,27.0,24.0,23.0,22.0,24.0,24.0,24.0,2344.0,2281.0,1849.0,1747.0,1552.0,1557.0,1696.0,1523.0
MGGT,La Aurora Airport,Guatemala City,,Guatemala,14.583,-90.528,30579.0,38415.0,47820.0,54117.0,32599.0,32963.0,32198.0,48765.0,,138.0,131.0,2.0,0.0,0.0,1.0,4.0,,3.0,4.0,3.0,1.0,0.0,1.0,4.0,30579.0,38550.0,47947.0,54116.0,32598.0,32963.0,32198.0,48765.0,,3.0,4.0,3.0,1.0,0.0,1.0,3.0,303.0,362.0,421.0,465.0,327.0,319.0,304.0,436.0,30579.0,38553.0,47951.0,54119.0,32599.0,32963.0,32199.0,48769.0
MHLM,Ramon Villeda Morales International Airport,San Pedro Sula,,Honduras,15.452,-87.92299999999999,11736.0,19933.0,35788.0,39254.0,19564.0,21285.0,21241.0,27778.0,,1.0,1.0,3.0,1.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,1.0,4.0,1.0,11736.0,19933.0,35786.0,39255.0,19564.0,21285.0,21241.0,27779.0,,1.0,3.0,2.0,2.0,1.0,3.0,1.0,139.0,205.0,329.0,361.0,232.0,236.0,217.0,263.0,11736.0,19934.0,35789.0,39257.0,19566.0,21286.0,21245.0,27780.0
MHSC,Coronel Enrique Soto Cano Air Base,Comayagua,,Honduras,14.3825,-87.621111,,,,56.0,49.0,26.0,,,,,,,,,,,,,,,,,,,,,,56.0,49.0,26.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,56.0,49.0,26.0,,
MHTG,Toncontín International Airport,Tegucigalpa,,Honduras,14.061,-87.21700000000001,9338.0,10606.0,,,,,,,,,,,,,,,,,,,,,,,9338.0,10606.0,,,,,,,,,,,,,,,88.0,96.0,,,,,,,9338.0,10606.0,,,,,,
MKJP,Norman Manley International Airport,Kingston,,Jamaica,17.936,-76.78699999999998,877.0,861.0,843.0,810.0,653.0,660.0,667.0,683.0,,,,,,,,,,,66.0,,,,,,877.0,861.0,777.0,810.0,653.0,660.0,667.0,683.0,,,1.0,,,,,,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,877.0,861.0,843.0,810.0,653.0,660.0,667.0,683.0
MMMD,Manuel Crescencio Rejón International Airport,Merida,,Mexico,20.937,-89.65700000000002,,,,,79.0,,,,,,,,80.0,,,,,,,,79.0,,,,,,,,80.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,159.0,,,
MMMX,Licenciado Benito Juarez International Airport,Mexico City,,Mexico,19.436,-99.072,8786.0,0.0,5456.0,13069.0,12932.0,15646.0,16568.0,13127.0,,,,,,,,,,,,,,,,,8786.0,0.0,5456.0,13069.0,12932.0,15646.0,16568.0,13127.0,,,,,,,,,78.0,0.0,41.0,97.0,96.0,117.0,126.0,98.0,8786.0,0.0,5456.0,13069.0,12932.0,15646.0,16568.0,13127.0
MNMG,Augusto C. Sandino (Managua) International Airport,Managua,,Nicaragua,12.140999999999998,-86.16799999999998,1095.0,1172.0,1218.0,1222.0,786.0,708.0,774.0,801.0,,,,,,,,1.0,,,,,,,,,1095.0,1172.0,1218.0,1222.0,786.0,708.0,774.0,802.0,,,,,,,,,17.0,19.0,24.0,21.0,22.0,22.0,25.0,25.0,1095.0,1172.0,1218.0,1222.0,786.0,708.0,774.0,802.0
MPTO,Panama International Airport,Panama City,,Panama,9.071,-79.383,,,,,,,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,11.0,5.0
MSLP,El Salvador International Airport,San Salvador,,El Salvador,13.441,-89.056,15817.0,18089.0,20284.0,26655.0,21378.0,20090.0,17969.0,14516.0,,2.0,1.0,0.0,3.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,4.0,15819.0,18089.0,20284.0,26654.0,21378.0,20090.0,17969.0,14514.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,170.0,188.0,203.0,257.0,203.0,193.0,179.0,147.0,15821.0,18091.0,20285.0,26655.0,21381.0,20092.0,17976.0,14518.0
MTPP,Toussaint Louverture International Airport,Port-Of-Prince,,Haiti,18.58,-72.293,228.0,547.0,410.0,338.0,369.0,267.0,5549.0,805.0,,,,1.0,,,,,,,,1.0,,,,,228.0,547.0,410.0,338.0,369.0,267.0,5549.0,805.0,,,,1.0,,,,,7.0,12.0,10.0,12.0,14.0,12.0,69.0,25.0,228.0,547.0,410.0,339.0,369.0,267.0,5549.0,805.0
MUHA,Jose Marti International Airport ,La Habana,,Cuba,22.989,-82.40899999999998,31.0,34.0,16.0,6.0,12.0,25.0,53.0,254.0,,,,,,,,,,,,,,,,,31.0,34.0,16.0,6.0,12.0,25.0,53.0,254.0,,,,,,,,,10.0,9.0,7.0,4.0,7.0,7.0,6.0,10.0,31.0,34.0,16.0,6.0,12.0,25.0,53.0,254.0
MYNN,Lynden Pindling International Airport,Nassau,,Bahamas,25.039,-77.46600000000002,,2.0,0.0,0.0,0.0,23.0,0.0,1.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,23.0,0.0,1.0,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,2.0,0.0,0.0,0.0,23.0,0.0,1.0
MZBZ,Philip S. W. Goldson International Airport,Belize City,,Belize,17.539,-88.30799999999998,,,10.0,0.0,0.0,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,10.0,0.0,5.0,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,,,10.0,0.0,0.0,10.0,0.0,5.0
NFTF,Fua'amotu International Airport,Fua'amotu,,Tonga,-21.241,-175.15,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
NSFA,Faleolo International Airport,,,Samoa,-13.83,-172.00799999999995,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0
NZWN,Wellington International Airport,Wellington,,New Zealand,-41.327,174.805,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
OAKB,Kabul International Airport,Kabul,,Afghanistan,34.566,69.212,,,,,,,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,7.0,16.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,7.0,16.0
OJAI,Queen Alia International Airport,Amman,,Jordan,31.722,35.993,5.0,0.0,0.0,7.0,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,7.0,0.0,8.0,8.0,8.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,7.0,0.0,8.0,8.0,8.0
OJAM,Amman Civil Airport,Amman,,Jordan,31.972,35.991,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,
OLBA,Beirut Rafic Hariri International Airport,Beruit,,Lebanon,33.813,35.48900000000001,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,
OMDW,Dubai International Airport,Dubai,,UAE,24.888278,55.160378,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
OPRN,Islamabad International Airport,Islamabad,,Pakistan,33.616,73.09899999999998,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,2.0,,,,,,,,109.0
ORBI,Baghdad International Airport,Baghdad,,Iraq,33.2625,44.234444,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,8.0,0.0
OYSN,Sana'a International Airport,Sana'a,,Yemen,15.476389,44.219722,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
PHNL,Honolulu International Airport,Honolulu,HI,USA,21.316,-157.92700000000005,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0
PKMJ,Marshall Islands International Airport,Rairok,,Republic of the Marshall Islands,7.065,171.27200000000005,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
RCTP,Taiwan Taoyuan International Airport,Taipei,,Taiwan,25.08,121.232,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
RJBB,Kansai International Airport,Osaka,,Japan,34.434166999999995,135.232778,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
RPLL,Ninoy Aquino International Airport,Manila,,Philippines,14.509,121.019,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
SAEZ,Ezeiza International Airport,Buenos Aires,,Argentina,-34.822222,-58.535833,,,,,,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,7.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,7.0,0.0,7.0
SBBR,Brasilia International Airport,Brasilia,,Brazil,-15.862,-47.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBCF,Tancredo Neves International Airport,,,Brazil,-19.634,-43.969,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0
SBGR,Guarulhos–Governador André Franco Montoro International Airport ,Sao Paulo,,Brazil,-23.432,-46.469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
SEGU,Simon Bolivar International Airport,Guayaquill,,Ecuador,-2.158,-79.884,1511.0,1567.0,1360.0,1377.0,1157.0,981.0,929.0,1037.0,,1.0,,,,,,,,1.0,,,,,,,1511.0,1567.0,1360.0,1377.0,1157.0,981.0,929.0,1037.0,,1.0,,,,,,,26.0,25.0,25.0,21.0,24.0,23.0,26.0,25.0,1511.0,1568.0,1360.0,1377.0,1157.0,981.0,929.0,1037.0
SKBO,El Dorado International Airport,Bogota,,Colombia,4.7010000000000005,-74.14699999999998,986.0,1019.0,943.0,865.0,847.0,847.0,796.0,869.0,,,,,,,,,,,,,,,,,986.0,1019.0,943.0,865.0,847.0,847.0,796.0,869.0,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,986.0,1019.0,943.0,865.0,847.0,847.0,796.0,869.0
SLLP,El Alto International Airport ,La Paz,,Bolivia,-16.512999999999998,-68.192,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,
SLVR,Viru Viru International Airport,Santa Cruz,,Bolivia,-17.645,-63.135,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,
SMJP,Johan Adolf Pengel International Airport,Paramaribo,,Suriname,5.4529999999999985,-55.188,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,
SPJC,Jorge Chavez International Airport,Callao,,Peru,-12.021944,-77.11444399999998,,5.0,0.0,40.0,0.0,21.0,0.0,18.0,,,,,,,,,,,,,,,,,,5.0,0.0,40.0,0.0,21.0,0.0,18.0,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,5.0,0.0,40.0,0.0,21.0,0.0,18.0
SUMU,Carrasco International Airport,Montevideo,,Uruguay,-34.838,-56.03,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
SYCJ,Cheddi Jagan International Airport,Georgetown,,Guyana,6.4983330000000015,-58.253889,,10.0,21.0,19.0,23.0,0.0,25.0,7.0,,,,,,,,,,,,,,,,,,10.0,21.0,19.0,23.0,0.0,25.0,7.0,,,,,,,,,,2.0,1.0,1.0,1.0,0.0,2.0,1.0,,10.0,21.0,19.0,23.0,0.0,25.0,7.0
TAPA,V.C. Bird International Airport,Antigua,,Antigua and Barbuda,17.137,-61.792,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0
TBPB,Grantley Adams International Airport,Seawell,,Barbados,13.074000000000002,-59.492,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
TDPD,Melville Hall Airport,Dominica,,Dominica,15.547,-61.3,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,
TGPY,Grenada International Airport,St. Georges,,Grenada,12.004,-61.786,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,
TIST,Cyril E. King Airport,St Thomas,VI,USA,18.337,-64.973,,,,,,,,,,,,,,11.0,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,11.0,,
TJBQ,Rafael Hernandez Airport,Aguadilla,PR,USA,18.495,-67.12899999999999,,,,,,,,,,,130.0,,,,,,,,130.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,130.0,,,,,
TJSJ,Luis Munoz Marin International Airport,San Juan,PR,USA,18.439,-66.002,,,,,94.0,,,,,83.0,63.0,0.0,0.0,0.0,13.0,,,83.0,63.0,0.0,94.0,0.0,13.0,,,,,,,,,,,1.0,1.0,0.0,2.0,0.0,1.0,,,,,,,,,,,83.0,63.0,0.0,94.0,0.0,13.0,
TKPK,Robert L. Bradshaw International Airport,Basseterre,,St. Kitts,17.311,-62.719,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,
TLPL,Hewanorra International Airport,Vieux Fort,,St. Lucia,13.733,-60.953,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0
TTPP,Piarco International Airport,Port Of Spain,,Trinidad and Tobago,10.595,-61.337,,24.0,0.0,0.0,0.0,18.0,33.0,2.0,,,,,,,,,,,,,,,,,,24.0,0.0,0.0,0.0,18.0,33.0,2.0,,,,,,,,,,4.0,0.0,0.0,0.0,3.0,3.0,1.0,,24.0,0.0,0.0,0.0,18.0,33.0,2.0
TVSC,Canouan Airport,Canouan,,St. Vincent,12.699000000000002,-61.342,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
TVSV,E. T. Joshua Airport,Kingstown,,St Vincent,13.144,-61.21100000000001,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,
TXKF,L.F. Wade International International Airport,St. David's Island,,Bermuda,32.364167,-64.678611,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
UGTB,Tbilisi International Airport,Tbilisi,,Georgia,41.6692,44.9547,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,
UKBB,Boryspil International Airport,Boryspil,,Ukraine,50.345,30.895,,,,,1.0,4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,3.0,,,,,,,,,,,,,1.0,2.0,0.0,1.0,,,,,1.0,4.0,0.0,3.0
UKKK,Kiev Zhuliany International Airport,Kiev,,Ukraine,50.402,30.452,2.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,3.0,
UTDD,Dushanbe Airport,Dushanbe,,Tajikistan,38.543,68.825,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
UTTT,Toshkent Xalqaro,Tashkent,,Uzbekistan,41.257,69.282,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,
UUEE,Sheremetyevo International Airport,Moscow,,Russia,55.972,37.415,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,
UUWW,Vnukovo International Airport,Moscow,,Russia,55.591,37.261,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,4.0,4.0,
UWKD,Kazan International Airport,Kazan,,Russia,55.608,49.277,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
VCBI,Bandaranaike International Colombo Airport,Colombo,,Sri Lanka,7.181,79.884,,1.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,4.0,,
VDPP,Phnom Penh International Airport,Phnom Penh,,Cambodia,11.546,104.844,,,,,,2.0,28.0,90.0,,,,,,,,,,,,,,,,,,,,,,2.0,28.0,90.0,,,,,,,,,,,,,,1.0,4.0,4.0,,,,,,2.0,28.0,90.0
VGHS,Dhaka Shahjalal International Airport,Dhaka,,Bangladesh,23.842778,90.400556,,,,,,67.0,139.0,63.0,,,,,,,,,,,,,,,,,,,,,,67.0,139.0,63.0,,,,,,,,,,,,,,2.0,4.0,2.0,,,,,,67.0,139.0,63.0
VIDP,Indira Gandhi International Airport,Delhi,,India,28.566,77.10300000000002,,,,,,81.0,144.0,170.0,,,,,,,,,,,,,,,,,,,,,,81.0,144.0,170.0,,,,,,,,,,,,,,2.0,4.0,3.0,,,,,,81.0,144.0,170.0
VNKT,Tribhuvan International Airport,Kathmandu,,Nepal,27.696,85.359,,,,,,4.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,5.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,4.0,7.0,5.0
VTBS,Suvarnabhumi Airport,Bangkok,,Thailand,13.6925,100.75,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
VVTS,Tan So'n Nhat International Airport,Ho Chi Minh,,Vietnam,10.82,106.662,,,,,,4.0,4.0,65.0,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,65.0,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,4.0,4.0,65.0
VYYY,Yangon International Airport,Yangon,,Myanmar,16.907,96.133,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0
YSSY,Sydney Kingsford Smith Airport,Sydney,,Australia,-33.946,151.17700000000005,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
ZBAA,Beijing Capital International Airport,Beijing,,China,40.08,116.584,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,
ZSFZ,Fuzhou Changle International Airport,Fuzhou,,China,25.933000000000003,119.662,,,,,16.0,0.0,47.0,93.0,,,,,,,,,,,,,,,,,,,,,16.0,0.0,47.0,93.0,,,,,,,,,,,,,2.0,0.0,1.0,1.0,,,,,16.0,0.0,47.0,93.0
