Airport Code,Airport Name,City,Country,Latitude,Longitude,Removal Percent,State,Total Dropoff Flights,Total Dropoffs,Total Flights,Total Passengers,Total Pickup Flights,Total Pickups,Total Removals,Total Transfers,Transfer Percent
BKPR,Pristina International Airport,Pristina,Kosovo,42.572778,21.035833,100.0,,3,4,3,4,0,0,4,0,0.0
DAAG,Houari Boumediene Airport,Algiers,Algeria,36.691,3.215,100.0,,1,3,1,3,0,0,3,0,0.0
DFFD,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.353,-1.5119999999999998,100.0,,1,5,1,5,0,0,5,0,0.0
DGAA,Kotoka International Airport,Accra,Ghana,5.603,-0.168,100.0,,8,350,8,350,0,0,350,0,0.0
DIAP,Port Bouet Airport,Abidjan,Ivory Coast,5.26,-3.926,100.0,,6,31,6,31,0,0,31,0,0.0
DNMM,Murtala Muhammed International Airport,Lagos,Nigeria,6.577000000000001,3.321,100.0,,8,284,8,284,0,0,284,0,0.0
DRRN,Diori Hamani International Airport,Niamey,Niger,13.481,2.184,100.0,,2,5,2,5,0,0,5,0,0.0
DXXX,Lomé–Tokoin Airport,Togo,Togo,6.166,1.254,100.0,,2,3,2,3,0,0,3,0,0.0
EDDF,Frankfurt am Main International Airport,Frankfurt,Germany,50.026,8.543,100.0,,2,5,3,6,1,1,6,0,0.0
EGGW,London Luton Airport,London,United Kingdom,51.874,-0.368,100.0,,1,3,1,3,0,0,3,0,0.0
EGSS,London Heathrow Airport,London,United Kingdom,51.885,0.235,100.0,,1,7,1,7,0,0,7,0,0.0
EPWA,Warsaw Chopin Airport,Warsaw,Poland,52.166,20.967,100.0,,6,15,6,15,0,0,15,0,0.0
EYVI,Vilnius International Airport,Vilnius,Lithuania,54.63694399999999,25.287778,100.0,,1,1,1,1,0,0,1,0,0.0
FALA,Lanseria Airport,Johannesburg,South Africa,-25.938,27.926,100.0,,1,1,1,1,0,0,1,0,0.0
FCBB,Maya-Maya Airport,,Republic of the Congo,-4.252,15.253,100.0,,1,4,1,4,0,0,4,0,0.0
FGSL,Malabo Santa Isabel Airport,Malabo,Equatorial Guinea,3.755,8.709,100.0,,1,1,1,1,0,0,1,0,0.0
FKKD,Douala International Airport,Douala,Cameroon,4.006,9.719,100.0,,9,30,9,30,0,0,30,0,0.0
FKYS,Yaoundé Nsimalen International Airport,Nsimalen,Cameroon,3.7225,11.553333,100.0,,2,8,2,8,0,0,8,0,0.0
FLKK,Kenneth Kaunda International/Lusaka Airport,Lusaka,Zambia,-15.331667,28.434167,100.0,,4,6,4,6,0,0,6,0,0.0
FOOL,Libreville International Airport,Libreville,Gabon,0.458,9.412,100.0,,1,2,1,2,0,0,2,0,0.0
FTTJ,N'Djamena International Airport,N'Djamena,Chad,12.134,15.034,100.0,,2,4,2,4,0,0,4,0,0.0
FVHA,Harare International Airport,Harare,Zimbabwe,-17.932000000000006,31.093000000000004,100.0,,2,4,2,4,0,0,4,0,0.0
FWKI,Lilongwe - Kamuzu International Airport,Lilongwe,Malawi,-13.789167,33.780833,100.0,,2,2,2,2,0,0,2,0,0.0
FYWH,Hosea Kutako International Airport,,Namibia,-22.486667,17.4625,100.0,,1,2,1,2,0,0,2,0,0.0
FZAA,Ndjili International Airport,Kinshasa,Democratic Republic of Congo,-4.386,15.444,100.0,,5,15,5,15,0,0,15,0,0.0
GABS,Senou Airport,Bamako,Mali,12.533,-7.95,100.0,,5,15,5,15,0,0,15,0,0.0
GBYD,Banjul International Airport,Banjul,Gambia,13.338,-16.652,100.0,,4,48,4,48,0,0,48,0,0.0
GFLL,Lungi International Airport,Freetown,Sierra Leone,8.616,-13.195,100.0,,4,19,4,19,0,0,19,0,0.0
GLRB,Roberts International Airport,Monrovia,Liberia,6.234,-10.362,100.0,,9,130,9,130,0,0,130,0,0.0
GMMN,Mohammed V International Airport,Casablanca,Morocco,33.368,-7.587999999999999,100.0,,1,1,1,1,0,0,1,0,0.0
GOOY,Léopold Sédar Senghor International Airport,Dakar,Senegal,14.739,-17.49,100.0,,4,190,4,190,0,0,190,0,0.0
GQNO,Nouakchott-Oumtounsy International Airport,Nouakchott,Mauritania,18.31,-15.969722,100.0,,4,13,4,13,0,0,13,0,0.0
GUCY,Conakry Airport,Conakry,Guinea,9.576889,-13.611961,100.0,,7,176,7,176,0,0,176,0,0.0
GVAC,Amílcar Cabral International Airport,Sal,Cape Verde,16.741,-22.949,100.0,,1,4,1,4,0,0,4,0,0.0
GVNP,Praia International Airport,Praia,Cape Verde,14.9242,-23.4939,100.0,,2,15,2,15,0,0,15,0,0.0
HAAB,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.977,38.8,100.0,,4,9,4,9,0,0,9,0,0.0
HBBA,Bujumbura International Airport,,Burundi,-3.324,29.318,100.0,,1,6,1,6,0,0,6,0,0.0
HCMM,Aden Adde International Airport,Mogadishu,Somalia,2.014,45.305,100.0,,8,561,8,561,0,0,561,0,0.0
HECA,Cairo International Airport,Cairo,Egypt,30.122,31.406,100.0,,4,14,4,14,0,0,14,0,0.0
HKJK,Jomo Kenyatta International Airport,Nairobi,Kenya,-1.318611,36.925833,100.0,,15,99,15,99,0,0,99,0,0.0
HRYR,Kigali International Airport,Kigali,Rwanda,-1.969,30.139,100.0,,2,2,2,2,0,0,2,0,0.0
HSSJ,Juba Airport,Juba,South Sudan,4.872,31.601,100.0,,7,107,7,107,0,0,107,0,0.0
HSSS,Khartoum International Airport,Khartoum,Sudan,15.589,32.553000000000004,100.0,,5,18,5,18,0,0,18,0,0.0
HTDA,Julius Nyerere International Airport,Dar es Salaam,Tanzania,-6.877999999999999,39.203,100.0,,2,6,2,6,0,0,6,0,0.0
HUEN,Entebbe International Airport,Entebbe,Uganda,0.042,32.443000000000005,100.0,,1,1,1,1,0,0,1,0,0.0
KABI,Abilene Regional Airport,Abilene,USA,32.411,-99.682,0.0,TX,8,368,8,368,0,0,0,368,100.0
KABQ,Albuquerque International Sunport Airport,Albuquerque,USA,35.039333,-106.610778,57.11,NM,13,1161,48,3964,38,2935,2264,1700,42.89
KAEX,Alexandria International Airport,Alexandria,USA,31.327,-92.548,52.53,LA,3033,169316,5000,408347,4074,239896,214519,193828,47.47
KALB,Albany International Airport,Albany,USA,42.74800000000001,-73.803,3.44,NY,4,337,4,349,1,12,12,337,96.56
KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,USA,33.64,-84.427,79.0,GA,53,2628,287,17761,273,15144,14032,3729,21.0
KAUS,Austin Bergstrom International Airport,Austin,USA,30.194000000000006,-97.67,88.9,TX,1,25,12,1442,11,1417,1282,160,11.1
KBDL,Bradley International Airport,Hartford,USA,41.93899999999999,-72.683,0.0,CT,1,19,1,19,0,0,0,19,100.0
KBED,Laurence G Hanscom Field,Bedford,USA,42.47,-71.289,3.12,MA,4,340,6,609,5,269,19,590,96.88
KBFI,Boeing Field King County International Airport,Seattle,USA,47.53,-122.302,32.37,WA,371,15191,514,49634,466,34443,16069,33565,67.63
KBFL,Meadows Field,Bakersfield,USA,35.433,-119.057,61.5,CA,466,2618,734,27000,724,24390,16606,10394,38.5
KBLV,Mid America St Louis/Scott AFB,Belleville,USA,38.545,-89.835,0.0,IL,3,93,3,93,0,0,0,93,100.0
KBNA,Nashville International Airport,Nashville,USA,36.124,-86.678,0.0,TN,1,56,1,56,0,0,0,56,100.0
KBOI,Boise Air Terminal/Gowen field,Boise,USA,43.56399999999999,-116.223,45.31,ID,1,1,72,1684,72,1683,763,921,54.69
KBOS,General Edward Lawrence Logan International Airport,Boston,USA,42.364,-71.005,1.39,MA,32,889,49,2590,39,1701,36,2554,98.61
KBRO,Brownsville South Padre Island International Airport,Brownsville,USA,25.907,-97.426,77.78,TX,1122,66444,2777,270976,2434,204895,210766,60198,22.22
KBUF,Buffalo Niagara International Airport,Buffalo,USA,42.94,-78.732,8.0,NY,143,7651,176,11332,149,3681,906,10426,92.0
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,USA,39.175,-76.668,0.0,MD,1,34,1,34,0,0,0,34,100.0
KCHS,Charleston International Airport,Charleston,USA,32.899,-80.04,0.0,SC,8,868,9,923,1,55,0,923,100.0
KCLE,Cleveland Hopkins International Airport,Cleveland,USA,41.412,-81.85,0.0,OH,2,113,2,113,0,0,0,113,100.0
KCLT,Charlotte Douglas International Airport,Charlotte,USA,35.214,-80.943,0.0,NC,0,0,1,11,1,11,0,11,100.0
KCMH,Port Columbus International Airport,Columbus,USA,39.99800000000001,-82.89200000000002,100.0,OH,0,0,1,61,1,61,61,0,0.0
KCOS,City of Colorado Springs Municipal Airport,Colorado Springs,USA,38.806,-104.7,63.1,CO,11,948,74,4184,66,3236,2640,1544,36.9
KCRP,Corpus Christi International Airport,Corpus Christi,USA,27.77,-97.501,78.38,TX,0,0,9,976,9,976,765,211,21.62
KCSG,Columbus Metropolitan Airport,Columbus,USA,32.5163333,-84.9388611,67.98,GA,269,8873,1187,89670,1140,80797,60956,28714,32.02
KCVG,Cincinnati Northern Kentucky International Airport,Covington,USA,39.046,-84.662,84.21,KY,0,0,2,76,2,76,64,12,15.79
KDAL,Dallas Love Field,Dallas,USA,32.847,-96.852,93.56,TX,11,613,260,11961,255,11386,11191,770,6.44
KDEN,Denver International Airport,Denver,USA,39.858,-104.667,30.62,CO,252,8290,508,29003,477,20713,8880,20123,69.38
KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,USA,32.896,-97.037,100.0,TX,0,0,7,188,7,188,188,0,0.0
KDTW,Detroit Metropolitan Wayne County Airport,Detroit,USA,42.212,-83.353,69.35,MI,1,4,3,261,3,257,181,80,30.65
KELP,El Paso International Airport,El Paso,USA,31.807,-106.378,54.99,TX,1926,87186,3045,223069,2315,136127,122665,100404,45.01
KEWR,Newark Liberty International Airport,Newark,USA,40.692,-74.169,15.12,NJ,510,15671,602,46889,542,31218,7089,39800,84.88
KFTW,Fort Worth Meacham International Airport,Fort Worth,USA,32.82,-97.362,93.29,TX,5,85,40,1266,38,1181,1181,85,6.71
KGFK,Grand Forks International Airport,Grand Forks,USA,47.949,-97.176,0.0,ND,1,1,1,1,0,0,0,1,100.0
KGRK,Robert Gray  Army Air Field Airport,Fort Hood,USA,31.067,-97.829,100.0,TX,0,0,3,263,3,263,263,0,0.0
KGYY,Gary Chicago International Airport,Gary,USA,41.616389,-87.412778,27.99,IN,269,8376,343,26252,322,17876,7349,18903,72.01
KHRL,Valley International Airport,Harlingen,USA,26.228,-97.654,88.6,TX,1734,148679,2773,273403,1508,124994,242241,31162,11.4
KHST,Homestead ARB Airport,Homestead,USA,25.488000000000003,-80.384,100.0,FL,2,111,2,111,0,0,111,0,0.0
KIAD,Washington Dulles International Airport,Washington Dc - Dulles,USA,38.944,-77.456,0.0,DC,0,0,1,65,1,65,0,65,100.0
KIAG,Niagara Falls International Airport,Niagara Falls,USA,43.107,-78.946,100.0,NY,0,0,14,122,14,122,122,0,0.0
KIAH,George Bush Intercontinental Houston Airport,Houston,USA,29.98,-95.34,93.23,TX,75,3181,909,53401,872,50378,49785,3615,6.77
KIWA,Phoenix-Mesa-Gateway Airport,Mesa,USA,33.3078333,-111.6554722,53.36,AZ,2454,93892,4468,289016,3856,196139,154214,134801,46.64
KJAX,Jacksonville International Airport,Jacksonville,USA,30.494,-81.688,6.18,FL,41,3306,57,5176,28,1870,320,4856,93.82
KKBL,Hamid Karzai International Airport,Kabul,Afghanistan,,,100.0,,1,22,1,22,0,0,22,0,0.0
KLAS,McCarran International Airport,Las Vegas,USA,36.08,-115.152,44.45,NV,349,2242,532,21166,524,18924,9408,11758,55.55
KLAW,Lawton Fort Sill Regional Airport,Lawton,USA,34.567778000000004,-98.416389,0.0,OK,15,1876,15,1876,0,0,0,1876,100.0
KLIT,Adams Field,Little Rock,USA,34.729,-92.224,0.0,AR,1,1,1,1,0,0,0,1,100.0
KLRD,Laredo International Airport,Laredo,USA,27.544,-99.461,87.18,TX,660,46923,1177,103322,822,56409,90080,13242,12.82
KMCI,Kansas City International Airport,Kansas City,USA,39.297,-94.714,64.56,MO,59,241,358,13091,357,12850,8452,4639,35.44
KMDT,Harrisburg International Airport,Harrisburg,USA,40.19300000000001,-76.763,29.07,PA,615,14790,924,91138,896,76348,26494,64643,70.93
KMDW,Chicago Midway International Airport,Chicago,USA,41.786,-87.75200000000002,0.0,IL,1,31,1,31,0,0,0,31,100.0
KMEM,Memphis International Airport,Memphis,USA,35.042,-89.977,0.0,TN,34,3976,40,5223,16,1247,0,5223,100.0
KMHR,Sacramento Mather Airport,Sacramento,USA,38.554,-121.297,0.0,CA,1,48,1,48,0,0,0,48,100.0
KMIA,Miami International Airport,Miami,USA,25.793000000000006,-80.291,55.81,FL,498,22657,1546,78108,1454,55588,43591,34516,44.19
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,USA,44.88,-93.217,60.09,MN,82,655,307,12813,301,12158,7699,5114,39.91
KMWA,Williamson County Regional Airport,Marion,USA,37.755,-89.011111,0.0,IL,0,0,1,1,1,1,0,1,100.0
KNJK,El Centro Naf Airport,El Centro,USA,32.829,-115.672,99.56,CA,184,20356,184,20440,4,84,20350,90,0.44
KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co),"Oxnard, Pt Magu",USA,34.12,-119.121,0.0,CA,10,1177,10,1177,0,0,0,1177,100.0
KNYL,Yuma MCAS/Yuma International Airport,Yuma Naval,USA,32.656667,-114.606111,98.7,AZ,279,29062,283,29440,4,378,29058,382,1.3
KOAK,Metropolitan Oakland International Airport,Oakland,USA,37.721,-122.221,62.51,CA,510,2503,984,42982,970,40532,26867,16115,37.49
KOMA,Eppley Airfield,Omaha,USA,41.302,-95.894,55.68,NE,60,603,270,9915,264,9312,5521,4394,44.32
KONT,Ontario International Airport,Ontario,USA,34.056,-117.601,35.83,CA,51,2361,73,5492,56,3131,1968,3524,64.17
KOPF,Opa-Locka Executive Airport,Miami,USA,25.907,-80.278,9.69,FL,1,4,9,392,9,392,38,354,90.31
KORD,Chicago O'Hare International Airport,Chicago,USA,41.979,-87.904,67.32,IL,143,2973,317,22240,314,19267,14973,7267,32.68
