Airport Code,Airport Name,City,Country,Latitude,Longitude,Removal Percent,State,Total Dropoff Flights,Total Dropoffs,Total Flights,Total Passengers,Total Pickup Flights,Total Pickups,Total Removals,Total Transfers,Transfer Percent
KPAE,Snohomish County (Paine Field) Airport,Everett,USA,47.90600000000001,-122.281,70.41,WA,3,19,4,338,4,319,238,100,29.59
KPDX,Portland International Airport,Portland,USA,45.589,-122.597,0.0,OR,1,124,1,124,0,0,0,124,100.0
KPSM,Portsmouth International Airport,"Portsmouth, NH",USA,43.078056,-70.82333299999998,8.52,,22,183,43,1479,42,1296,126,1353,91.48
KRFD,Chicago Rockford International Airport,Rockford,USA,42.195278,-89.097222,0.0,IL,1,20,1,20,0,0,0,20,100.0
KRIC,Richmond International Airport,Richmond,USA,37.505,-77.319,12.31,VA,36,795,47,2688,38,1893,331,2357,87.69
KRNO,Reno Tahoe International Airport,Reno,USA,39.49800000000001,-119.768,49.3,NV,3,3,106,1933,105,1930,953,980,50.7
KROW,Roswell International Air Center Airport,Roswell,USA,33.301,-104.531,92.05,NM,1,28,10,352,10,324,324,28,7.95
KSAN,San Diego International Airport,San Diego,USA,32.733000000000004,-117.189,59.8,CA,1139,62942,1245,115897,1009,53008,69308,46589,40.2
KSAT,San Antonio International Airport,San Antonio,USA,29.534,-98.47,71.04,TX,176,6438,1970,113444,1858,107434,80593,32838,28.95
KSDM,Brown Field Municipal Airport,San Diego,USA,32.572222,-116.980278,100.0,,0,0,1,4,1,4,4,0,0.0
KSKF,Lackland Air Force Base (Kelly Field Annex) Airport,"San Antonio, Kelly Fld",USA,29.384,-98.581,0.0,TX,6,624,8,870,2,246,0,870,100.0
KSLC,Salt Lake City International Airport,Salt Lake City,USA,40.788,-111.978,35.83,UT,135,2091,322,13152,308,11061,4713,8439,64.17
KSMF,Sacramento International Airport,Sacramento,USA,38.695,-121.591,15.79,CA,0,0,3,114,3,114,18,96,84.21
KSTL,Lambert St Louis International Airport,St Louis,USA,38.74800000000001,-90.36,3.29,MO,2,87,3,152,3,65,5,147,96.71
KTEB,Teterboro Airport,Teterboro,USA,40.85,-74.061,100.0,NJ,0,0,1,7,1,7,7,0,0.0
KTOL,Toledo Express Airport,Toledo,USA,41.586806,-83.807833,57.51,OH,165,1907,419,26943,405,25036,15494,11449,42.49
KTUS,Tucson International Airport,Tucson,USA,32.116,-110.941,65.73,AZ,28,2514,137,14958,109,12444,9832,5126,34.27
KTWF,Joslin Field Magic Valley Regional Airport,Twin Falls,USA,42.481667,-114.487778,67.78,ID,0,0,15,568,15,568,385,183,32.22
KVCV,Southern California Logistics Airport,Victorville,USA,34.593,-117.379,0.0,CA,9,879,18,1809,9,930,0,1809,100.0
KYIP,Willow Run Airport,Detroit,USA,42.238,-83.53,65.15,MI,0,0,2,132,2,132,86,46,34.85
KYKM,Yakima Air Terminal,Yakima,USA,46.568056,-120.544167,0.0,WA,1,133,2,241,1,108,0,241,100.0
KYNG,Youngston Warren Regional Airport,Vienna Center,USA,41.261,-80.679,2.2,,25,1103,25,1137,3,34,25,1112,97.8
LATI,Tirana International Airport Mother Teresa,Tirana,Albania,41.415,19.721,100.0,,3,7,3,7,0,0,7,0,0.0
LEMD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,40.472,-3.5610000000000004,100.0,,1,5,1,5,0,0,5,0,0.0
LFPB,Le Bourget International Airport,Paris,France,48.969,2.441,100.0,,2,4,2,4,0,0,4,0,0.0
LHBP,Budapest Liszt Ferenc international Airport,Budapest,Hungary,47.437,19.256,100.0,,5,7,5,7,0,0,7,0,0.0
LIRA,Ciampino Airport,Rome,Italy,41.799,12.595,100.0,,2,5,2,5,0,0,5,0,0.0
LKPR,Ruzyn-¢ International Airport,Prague,Czech Republic,50.101000000000006,14.26,100.0,,1,2,1,2,0,0,2,0,0.0
LLBG,Ben Gurion International Airport,Tel Aviv,Israel,32.009,34.876999999999995,100.0,,1,2,1,2,0,0,2,0,0.0
LPPD,João Paulo II Airport,Ponta Delgada,Portugal,37.741,-25.698,100.0,,2,3,2,3,0,0,3,0,0.0
LQSA,Sarajevo International Airport,Sarajevo,Bosnia,43.824,18.331,100.0,,3,10,3,10,0,0,10,0,0.0
LRBS,Bâneasa International Airport,Bucharest,Romania,44.503,26.102,100.0,,1,1,1,1,0,0,1,0,0.0
LROP,Henri Coandâ International Airport,Bucharest,Romania,44.574,26.103,100.0,,2,3,2,3,0,0,3,0,0.0
LTBA,Atatürk International Airport ,Istanbul,Turkey,40.977,28.821,100.0,,1,4,1,4,0,0,4,0,0.0
LUKK,Chisinau International Airport,Chisinau,Moldova,46.928,28.931,100.0,,3,5,3,5,0,0,5,0,0.0
LWSK,Skopje Alexander the Great Airport,Skopje,Macedonia,41.96100000000001,21.621,100.0,,1,5,1,5,0,0,5,0,0.0
LYBE,Belgrade Nikola Tesla Airport,Belgrade,Serbia,44.81800000000001,20.309,100.0,,1,1,1,1,0,0,1,0,0.0
LYPG,Podgorica Airport,Podgorica,Montenegro,42.359,19.252,100.0,,1,2,1,2,0,0,2,0,0.0
LZIB,M. R. Štefánik Airport,Bratislava,Slovakia,48.17,17.212,100.0,,2,2,2,2,0,0,2,0,0.0
MDSD,Las Americas International Airport,Santo Domingo,Dominican Republic,18.429,-69.669,99.99,,201,14882,201,14883,1,1,14882,1,0.01
MGGT,La Aurora Airport,Guatemala City,Guatemala,14.583,-90.528,99.92,,3018,326875,3019,326891,15,16,326615,276,0.08
MHLM,Ramon Villeda Morales International Airport,San Pedro Sula,Honduras,15.452,-87.92299999999999,99.99,,2044,202955,2045,202970,14,15,202955,12,0.01
MHSC,Coronel Enrique Soto Cano Air Base,Comayagua,Honduras,14.3825,-87.621111,100.0,,5,131,5,131,0,0,131,0,0.0
MHTG,Toncontín International Airport,Tegucigalpa,Honduras,14.061,-87.21700000000001,100.0,,184,19944,184,19944,0,0,19944,0,0.0
MKJP,Norman Manley International Airport,Kingston,Jamaica,17.936,-76.78699999999998,100.0,,97,6101,98,6167,1,66,6167,0,0.0
MMMD,Manuel Crescencio Rejón International Airport,Merida,Mexico,20.937,-89.65700000000002,49.69,,1,80,3,159,2,79,79,80,50.31
MMMX,Licenciado Benito Juarez International Airport,Mexico City,Mexico,19.436,-99.072,100.0,,653,85584,653,85584,0,0,85584,0,0.0
MNMG,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,12.140999999999998,-86.16799999999998,99.99,,180,8054,180,8054,0,0,8053,1,0.01
MPTO,Panama International Airport,Panama City,Panama,9.071,-79.383,100.0,,3,16,3,16,0,0,16,0,0.0
MSLP,El Salvador International Airport,San Salvador,El Salvador,13.441,-89.056,99.99,,1569,157773,1569,157795,19,22,157774,17,0.01
MTPP,Toussaint Louverture International Airport,Port-Of-Prince,Haiti,18.58,-72.293,99.99,,166,8643,166,8644,1,1,8643,1,0.01
MUHA,Jose Marti International Airport ,La Habana,Cuba,22.989,-82.40899999999998,100.0,,62,480,62,480,0,0,480,0,0.0
MYNN,Lynden Pindling International Airport,Nassau,Bahamas,25.039,-77.46600000000002,100.0,,3,26,3,26,0,0,26,0,0.0
MZBZ,Philip S. W. Goldson International Airport,Belize City,Belize,17.539,-88.30799999999998,100.0,,3,25,3,25,0,0,25,0,0.0
NFTF,Fua'amotu International Airport,Fua'amotu,Tonga,-21.241,-175.15,100.0,,1,1,1,1,0,0,1,0,0.0
NSFA,Faleolo International Airport,,Samoa,-13.83,-172.00799999999995,100.0,,1,6,1,6,0,0,6,0,0.0
NZWN,Wellington International Airport,Wellington,New Zealand,-41.327,174.805,100.0,,1,1,1,1,0,0,1,0,0.0
OAKB,Kabul International Airport,Kabul,Afghanistan,34.566,69.212,100.0,,3,23,3,23,0,0,23,0,0.0
OJAI,Queen Alia International Airport,Amman,Jordan,31.722,35.993,100.0,,5,36,5,36,0,0,36,0,0.0
OJAM,Amman Civil Airport,Amman,Jordan,31.972,35.991,100.0,,1,7,1,7,0,0,7,0,0.0
OLBA,Beirut Rafic Hariri International Airport,Beruit,Lebanon,33.813,35.48900000000001,100.0,,1,7,1,7,0,0,7,0,0.0
OMDW,Dubai International Airport,Dubai,UAE,24.888278,55.160378,100.0,,1,1,1,1,0,0,1,0,0.0
OPRN,Islamabad International Airport,Islamabad,Pakistan,33.616,73.09899999999998,100.0,,2,109,2,109,0,0,109,0,0.0
ORBI,Baghdad International Airport,Baghdad,Iraq,33.2625,44.234444,100.0,,2,16,2,16,0,0,16,0,0.0
OYSN,Sana'a International Airport,Sana'a,Yemen,15.476389,44.219722,100.0,,1,1,1,1,0,0,1,0,0.0
PHNL,Honolulu International Airport,Honolulu,USA,21.316,-157.92700000000005,0.0,HI,1,2,1,2,0,0,0,2,100.0
PKMJ,Marshall Islands International Airport,Rairok,Republic of the Marshall Islands,7.065,171.27200000000005,100.0,,1,2,1,2,0,0,2,0,0.0
RCTP,Taiwan Taoyuan International Airport,Taipei,Taiwan,25.08,121.232,100.0,,1,1,1,1,0,0,1,0,0.0
RJBB,Kansai International Airport,Osaka,Japan,34.434166999999995,135.232778,100.0,,1,1,1,1,0,0,1,0,0.0
RPLL,Ninoy Aquino International Airport,Manila,Philippines,14.509,121.019,100.0,,1,2,1,2,0,0,2,0,0.0
SAEZ,Ezeiza International Airport,Buenos Aires,Argentina,-34.822222,-58.535833,100.0,,2,14,2,14,0,0,14,0,0.0
SBBR,Brasilia International Airport,Brasilia,Brazil,-15.862,-47.913,100.0,,1,7,1,7,0,0,7,0,0.0
SBCF,Tancredo Neves International Airport,,Brazil,-19.634,-43.969,100.0,,1,5,1,5,0,0,5,0,0.0
SBGR,Guarulhos–Governador André Franco Montoro International Airport ,Sao Paulo,Brazil,-23.432,-46.469,100.0,,2,4,2,4,0,0,4,0,0.0
SEGU,Simon Bolivar International Airport,Guayaquill,Ecuador,-2.158,-79.884,99.99,,198,10065,198,10066,1,1,10065,1,0.01
SKBO,El Dorado International Airport,Bogota,Colombia,4.7010000000000005,-74.14699999999998,100.0,,98,7302,98,7302,0,0,7302,0,0.0
SLLP,El Alto International Airport ,La Paz,Bolivia,-16.512999999999998,-68.192,100.0,,1,2,1,2,0,0,2,0,0.0
SLVR,Viru Viru International Airport,Santa Cruz,Bolivia,-17.645,-63.135,100.0,,1,6,1,6,0,0,6,0,0.0
SMJP,Johan Adolf Pengel International Airport,Paramaribo,Suriname,5.4529999999999985,-55.188,100.0,,1,2,1,2,0,0,2,0,0.0
SPJC,Jorge Chavez International Airport,Callao,Peru,-12.021944,-77.11444399999998,100.0,,5,84,5,84,0,0,84,0,0.0
SUMU,Carrasco International Airport,Montevideo,Uruguay,-34.838,-56.03,100.0,,1,2,1,2,0,0,2,0,0.0
SYCJ,Cheddi Jagan International Airport,Georgetown,Guyana,6.4983330000000015,-58.253889,100.0,,8,105,8,105,0,0,105,0,0.0
TAPA,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.137,-61.792,100.0,,1,3,1,3,0,0,3,0,0.0
TBPB,Grantley Adams International Airport,Seawell,Barbados,13.074000000000002,-59.492,100.0,,1,2,1,2,0,0,2,0,0.0
TDPD,Melville Hall Airport,Dominica,Dominica,15.547,-61.3,100.0,,1,3,1,3,0,0,3,0,0.0
TGPY,Grenada International Airport,St. Georges,Grenada,12.004,-61.786,100.0,,1,5,1,5,0,0,5,0,0.0
TIST,Cyril E. King Airport,St Thomas,USA,18.337,-64.973,0.0,VI,0,0,1,11,1,11,0,11,100.0
TJBQ,Rafael Hernandez Airport,Aguadilla,USA,18.495,-67.12899999999999,0.0,PR,0,0,2,130,2,130,0,130,100.0
TJSJ,Luis Munoz Marin International Airport,San Juan,USA,18.439,-66.002,37.15,PR,0,0,5,253,5,253,94,159,62.85
TKPK,Robert L. Bradshaw International Airport,Basseterre,St. Kitts,17.311,-62.719,100.0,,1,4,1,4,0,0,4,0,0.0
TLPL,Hewanorra International Airport,Vieux Fort,St. Lucia,13.733,-60.953,100.0,,1,2,1,2,0,0,2,0,0.0
TTPP,Piarco International Airport,Port Of Spain,Trinidad and Tobago,10.595,-61.337,100.0,,11,77,11,77,0,0,77,0,0.0
TVSC,Canouan Airport,Canouan,St. Vincent,12.699000000000002,-61.342,100.0,,1,2,1,2,0,0,2,0,0.0
TVSV,E. T. Joshua Airport,Kingstown,St Vincent,13.144,-61.21100000000001,100.0,,1,4,1,4,0,0,4,0,0.0
TXKF,L.F. Wade International International Airport,St. David's Island,Bermuda,32.364167,-64.678611,100.0,,1,1,1,1,0,0,1,0,0.0
UGTB,Tbilisi International Airport,Tbilisi,Georgia,41.6692,44.9547,100.0,,2,2,2,2,0,0,2,0,0.0
UKBB,Boryspil International Airport,Boryspil,Ukraine,50.345,30.895,100.0,,4,8,4,8,0,0,8,0,0.0
UKKK,Kiev Zhuliany International Airport,Kiev,Ukraine,50.402,30.452,100.0,,3,8,3,8,0,0,8,0,0.0
UTDD,Dushanbe Airport,Dushanbe,Tajikistan,38.543,68.825,100.0,,1,1,1,1,0,0,1,0,0.0
UTTT,Toshkent Xalqaro,Tashkent,Uzbekistan,41.257,69.282,100.0,,1,3,1,3,0,0,3,0,0.0
UUEE,Sheremetyevo International Airport,Moscow,Russia,55.972,37.415,100.0,,1,2,1,2,0,0,2,0,0.0
UUWW,Vnukovo International Airport,Moscow,Russia,55.591,37.261,100.0,,2,8,2,8,0,0,8,0,0.0
UWKD,Kazan International Airport,Kazan,Russia,55.608,49.277,100.0,,1,1,1,1,0,0,1,0,0.0
VCBI,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,7.181,79.884,100.0,,2,5,2,5,0,0,5,0,0.0
VDPP,Phnom Penh International Airport,Phnom Penh,Cambodia,11.546,104.844,100.0,,9,120,9,120,0,0,120,0,0.0
VGHS,Dhaka Shahjalal International Airport,Dhaka,Bangladesh,23.842778,90.400556,100.0,,8,269,8,269,0,0,269,0,0.0
VIDP,Indira Gandhi International Airport,Delhi,India,28.566,77.10300000000002,100.0,,9,395,9,395,0,0,395,0,0.0
VNKT,Tribhuvan International Airport,Kathmandu,Nepal,27.696,85.359,100.0,,3,16,3,16,0,0,16,0,0.0
VTBS,Suvarnabhumi Airport,Bangkok,Thailand,13.6925,100.75,100.0,,1,1,1,1,0,0,1,0,0.0
VVTS,Tan So'n Nhat International Airport,Ho Chi Minh,Vietnam,10.82,106.662,100.0,,5,73,5,73,0,0,73,0,0.0
VYYY,Yangon International Airport,Yangon,Myanmar,16.907,96.133,100.0,,1,7,1,7,0,0,7,0,0.0
YSSY,Sydney Kingsford Smith Airport,Sydney,Australia,-33.946,151.17700000000005,100.0,,1,2,1,2,0,0,2,0,0.0
ZBAA,Beijing Capital International Airport,Beijing,China,40.08,116.584,100.0,,1,6,1,6,0,0,6,0,0.0
ZSFZ,Fuzhou Changle International Airport,Fuzhou,China,25.933000000000003,119.662,100.0,,4,156,4,156,0,0,156,0,0.0
