"Date"|"Flight count"|"Flight number"|"Tail number"|"Operator"|"Owner"|"Previous Airport"|"Next Airport"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"Snoq Pass"|"White Pass"|"# Buses"|"Observations"|"Link"
"Tuesday, May 7, 2019"|1|"RPN529"|"N529AU"|"US DHS ICE ""Repatriate"""|"Swift Air LLC"|"KIWA"|"KELP"|92|40|92|40|||"?"|"Only YKM flight under RPN call sign - they stopped using RPN after this flight."|"https://flightaware.com/live/flight/RPN529/history/20190507/1730Z/KYKM/KELP"
"Sunday, May 12, 2019"|2|"SWQ3571"|"N441US"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KELP"|"KIWA"|0|90|0|100|||3||"https://flightaware.com/live/flight/SWQ3571/history/20190512/1610Z/KELP/KYKM"
"Tuesday, May 14, 2019"|3|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|70|0|78|4|||3|"No female agents, so women weren't patted down"|"https://flightaware.com/live/flight/N529AU/history/20190514/1330Z/KIWA/KYKM"
"Saturday, May 18, 2019"|4|"SWQ3577"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KDEN"|"KIWA"|0|35|0|34|||2|"11 women, 24 men dropped off"|"https://flightaware.com/live/flight/SWQ3577/history/20190518/1645Z/KDEN/KYKM"
"Tuesday, May 21, 2019"|5|"SWQ3500"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|61|40|61|40|||3|"Records received via Yakima Air Terminal include passenger manifest with names of 15 security personnel"|"https://flightaware.com/live/flight/SWQ3500/history/20190521/1330Z/KIWA/KYKM"
"Sunday, May 26, 2019"|6|"SWQ3586"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KELP"|"KONT"|0|50|0|50|||2|"Approx 13 women"|"https://flightaware.com/live/flight/SWQ3586/history/20190526/1610Z/KELP/KYKM"
"Tuesday, May 28, 2019"|7|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|60|1|60|0|||3|"Picked up: 45 males, 15 females"|"https://flightaware.com/live/flight/SWQ3501/history/20190528/1330Z/KIWA/KYKM"
"Tuesday, June 4, 2019"|8|"SWQ3501"|"N441US"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|39|73|40|76|||3|"31 men & 8 women off the plane, 11 women and 62 men on the plane. First day in new tarmac location, lot harder to see anything! No call from City Manager with a heads up."|"https://flightaware.com/live/flight/SWQ3501/history/20190604/1330Z/KIWA/KYKM"
"Tuesday, June 11, 2019"|9|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|76|50|77|50|||3|"15 women and 35 men off the plane and 16 women and 60 men on the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20190611/1330Z/KIWA/KYKM"
"Sunday, June 16, 2019"|10|"WAL408"|"N804WA"|"World Atlantic Airlines"|"World Atlantic Leasing LLC"|"KIAH"|"KSAT"|0|61|0|61|||"2?"|"This flight wasn't observed by local YIRN members - route - San Antonio - Houston - Yakima - San Antonio"|"https://flightaware.com/live/flight/WAL408/history/20190616/1500Z/KIAH/KYKM"
"Tuesday, June 18, 2019"|11|"SWQ3501"|"?"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|91|0|88|0|||3|"78 men and 13 women boarded the plane from the buses and 0 people got off the plane and onto the bus"|"https://flightaware.com/live/flight/SWQ3501/history/20190618/1330Z/KIWA/KYKM"
"Saturday, June 22, 2019"|12|"SWQ3762"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KDEN"|"KIWA"|0|91|0|92|||2|"71 men and 20 women deplaned and put on the bus. They only had TWO buses so there were quite a few people standing in the aisles for the 3 hour bus ride."|"https://flightaware.com/live/flight/SWQ3762/history/20190622/1745ZZ/KDEN/KYKM"
"Tuesday, June 25, 2019"|13|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|67|0|73|0|||3|"7 women, 60 men, several turbaned men"|"https://flightaware.com/live/flight/SWQ3501/history/20190625/1300Z/KIWA/KYKM"
"Tuesday, July 2, 2019"|14|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|81|52|81|52|||3|"Buses entered through wrong gate, got to the plane late to do a count. Cliff Moore's office will share the official counts with us going forward. Pictures from Michael Collins - https://photos.app.goo.gl/tXcsok5vxh6yH499A. Buses: 15941RP, 15944RP and smaller bus 72754RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190702/1330Z/KIWA/KYKM"
"Tuesday, July 9, 2019"|15|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|37|0|31|0|||1|"Our count was disrupted multiple times by a Airport maintenance staff trying to talk with us to tell us we didn't know anything and that all the people on the planes were ""criminals"" pushing his point repeatedly. I will need to check with Cliff to see what his count was."|"https://flightaware.com/live/flight/SWQ3501/history/20190709/1330Z/KIWA/KYKM"
"Thursday, July 11, 2019"|16|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KDEN"|"KIWA"|0|30|0|30|||2|"20 men and 10 women deplaned. This was the first time we saw three of the women able to figure out how to hold onto the hand rails, by going down the stairs sidewise."|"https://flightaware.com/live/flight/SWQ3711/history/20190711/1651Z/KDEN/KYKM"
"Tuesday, July 16, 2019"|17|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|52|1|52|0|||2|"5 women and 45 men got off the buses and onto the plane. One man got off the plane and onto the bus - there was a difference of opinion amongst observers as to whether or not he had originally been on the bus and then ""rejected"" by the plane crew. Buses: 5941RP and 15944RP  "|"https://flightaware.com/live/flight/SWQ3501/history/20190716/1330Z/KIWA/KYKM"
"Tuesday, July 23, 2019"|18|"SWQ3550"|"?"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|89|48|87|49|||3|"Mick's report: From Bus to Plane - 16 women & 73 men, total 89; from Plane to Bus - 18 women, 30 men. Cristina brought bullhorn and group of Hispanic community"|"https://flightaware.com/live/flight/SWQ3550/history/20190723/1330Z/KIWA/KYKM"
"Tuesday, July 30, 2019"|19|"SWQ3501"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|83|86|81|83|||3|"62 men and 24 women off the plane, 10 women and 73 men off the bus. 15941RP, 15943RP, 15944RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190730/"
"Tuesday, August 6, 2019"|20|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|78|1|79|1|||3|"11 women and 67 men off the bus onto the plane. 1 woman deplaned and put on the bus back to Tacoma.  Buses 15941RP, 14943RP, 15944RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190806/1337Z/KIWA/KYKM"
"Wednesday, August 7, 2019"|21|"WAL508"|"N805WA"|"World Atlantic Airlines"|"World Atlantic Leasing LLC"|"KDEN"|"KSAT"|0|67|0|77|||2|"Women on to small bus--18; Men onto larger bus 49. Plane was a MD83."|"https://flightaware.com/live/flight/WAL508/history/20190807/1642Z/KDEN/KYKM"
"Monday, August 12, 2019"|22|"WAL108"|"N801WA"|"World Atlantic Airlines"|"World Atlantic Leasing LLC"|"KONT"|"KBRO"|0|60|0|62|||2|"40 men and 20 women deplaned. No detainees boarded the plane from the buses. Buses: 15941RP and 15943RP."|"https://flightaware.com/live/flight/WAL108/history/20190812/"
"Tuesday, August 13, 2019"|23|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|55|1|54|0|||2|"4 women and 51 men off the buses onto the plane. 1 person was ""rejected"" and sent back to the bus.  After seeing Michael's closeup pictures it looks like one other guy got off the plane. Buses:  40272RP and 15941RP."|"https://flightaware.com/live/flight/SWQ3501/history/20190813/1339Z/KIWA/KYKM"
"Tuesday, August 20, 2019"|24|"SWQ3501"|"N629SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|88|18|88|20|||3|"Off the bus and on the plane - 81 men and 7 women  --  Off the plane and on the bus - 18 women"|"https://flightaware.com/live/flight/SWQ3501/history/20190820/1509Z/KIWA/KYKM"
"Tuesday, August 27, 2019"|25|"SWQ3501"|"N629SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|60|0|61|0|||2|"50 men and 10 women getting off the buses ... none getting off the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20190827/1433Z/KIWA/KYKM"
"Friday, August 30, 2019"|26|"SWQ3567"|"N625SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KDEN"|0|78|0|80|||2|"78 men get off the plane - no women and noone off the buses. Buses: 15941RP and  15943RP"|"https://flightaware.com/live/flight/SWQ3567/history/20190820/"
"Tuesday, September 3, 2019"|27|"SWQ3501"|"N803TJ"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|74|1|||||2|"65 men and 9 women boarded the plane from the buses. 1 person got back off the plane and onto the bus. 15943RP and 40272RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190903/1451Z/KIWA/KYKM"
"Saturday, September 7, 2019"|28|"WAL888"|"N808WA"|"World Atlantic Airlines"|"World Atlantic Leasing LLC"|"KSAT"|"KBRO"|0|76|0|79|||2|"61 men and 15 women deplaned. No persons were loaded from the bus. Buses 15943RP and 15941RP."|"https://flightaware.com/live/flight/WAL888/history/20190907/"
"Tuesday, September 10, 2019"|29|"SWQ3501"|"N803TJ"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|40|2|39|2|||1|"35 men and 5 women off bus, 2 men off plane. Bus license 15941RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190910/1330Z/KIWA/KYKM"
"Tuesday, September 17, 2019"|30|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|||||||"-"|"Military exercises - not Allowed to view flight because exercise commander didn't want to chance his troops being photographed."|"https://flightaware.com/live/flight/SWQ3501/history/20190917/1430Z/KIWA/KYKM"
"Tuesday, September 24, 2019"|31|"SWQ3501"|"N629SW"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|56|0|||||2|"9 women and 47 men boarded the plane. No one got off the plane.  Bus license plates: 40272RP, 15941RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190924/1430Z/KIWA/KYKM"
"Monday, September 30, 2019"|32|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KLAS"|68|0|69|0|||2|"63 men and 5 women off the bus and onto the plane. 12+ detainees in shirt sleeves and several in shorts!  Buses  15941RP and 15943 RP"|"https://flightaware.com/live/flight/SWQ3501/history/20190930/1330Z/KIWA/KYKM"
"Tuesday, October 8, 2019"|33|"SWQ3510"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|63|49|||||3|"Off the plane - 29 women and 20 men (the bunch that started out as men were mixed and it was hard to see how many were men and how many were women. and Off the buses - 6 women and 57 men. - 3 buses - 15941RP 15943 RP"|"https://flightaware.com/live/flight/SWQ3510/history/20191008/1430Z/KIWA/KYKM"
"Tuesday, October 15, 2019"|34|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|62|2|||||2|"12 women and 50 men got off the buses and boarded the plane.  One of the buses broke down on Valley Mall Blvd & 3rd Avenue and the first bus had to go back and pick up the detainees and came back with them 30 minutes after its first arrival. 2 men rejected on the flight and put on the bus. Bus 15943RP"|"https://flightaware.com/live/flight/SWQ3501/history/20191015/1430Z/KIWA/KYKM"
"Tuesday, October 22, 2019"|35|"SWQ3501"|"N531AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|35|2|||||2|"4 women and 32 men off the buses. There may have been one person who was put back on a bus, but I'll awaiting the photographers pics so we can figure that out. Buses:  15943RP and 15944RP"|"https://flightaware.com/live/flight/SWQ3501/history/20191022/1447Z/KIWA/KYKM"
"Tuesday, October 29, 2019"|36|"SWQ3501"|"N531AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|77|3|||||3|"60 men and 17 women got off the buses; 3 men got off the plane.  Buses:  15943RP, 15944RP and 72716RP"|"https://flightaware.com/live/flight/SWQ3501/history/20191029/1435Z/KIWA/KYKM"
"Tuesday, November 5, 2019"|37|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|61|2|||||2|"7 women and 54 men got off the bus and 2 men got off the plane.  Buses 15944RP and 14941RP"|"https://flightaware.com/live/flight/SWQ3501/history/20191105/1430Z/KIWA/KYKM"
"Tuesday, November 12, 2019"|38|"SWQ3501"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|49|0|||||2|"43 men and 6 women got off the bus and boarded the plane. One man was put on the plane with a wheelchair. One man got off the plane, but was then put back on. 1 bus and one lift van - for the wheelchair: License plates: 15944RP & 17508 - with wheelchair icon on license plate."|"https://flightaware.com/live/flight/SWQ3501/history/20191112/1430Z/KIWA/KYKM"
"Tuesday, November 19, 2019'"|39|"SWQ3501"|"N538CC"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|49|3|||||2|"44 men and 5 women got off the buses and boarded the flight to El Paso, 2 men and 1 woman deplaned and boarded the buses to Tacoma. Licenses: 15941RP and 15943RP"|"https://flightaware.com/live/flight/SWQ3501/history/20191119/1430Z/KIWA/KYKM"
"Tuesday, November 26, 2019"|40|"SWQ3501"|"-"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|75|1|||||3|"Women off bus, on to plane: 11, Men off buses, on to plane: 64; 1 woman off the plane onto the bus. No Photographer."|"https://flightaware.com/live/flight/SWQ3501/history/20191126/1441Z/KIWA/KYKM"
"Tuesday, December 3, 2019"|41|"SWQ3503"|"N529AU"|"Swift Air ""Swiftflight"""|"Swift Air LLC"|"KIWA"|"KELP"|32|1|||||2|"26 men and 6 women off the buses; 1 man off the plane. No Photographer."|"https://flightaware.com/live/flight/SWQ3503/history/20191203/1430Z/KIWA/KYKM"
"Tuesday, December 10, 2019"|42|"SWQ3503"|"N917XA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|51|1|||||2|"45 men and 6 women off the bus and boarded the plane. 1 woman off the plane. 1 turbaned man was in the group of men that got off the bus. 2 Buses. : 15943RP and smaller bus - 72716RP"|"https://flightaware.com/live/flight/SWQ3503/history/20191210/1538Z/KIWA/KYKM"
"Tuesday, December 17, 2019"|43|"SWQ3503"|"N917XA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|37|3|||||2|"Today we had 37 men get off the 2 buses and 1 man and 1 woman (I think) get off the plane. Buses:  15941RP and 15943RP. A FIRST at today's flight was that they escorted every single detainee up the steps ... we speculated it was due to icy air stairs!"|"https://flightaware.com/live/flight/SWQ3503/history/20191217/1444Z/KIWA/KYKM"
"Monday, December 23, 2019"|44|"SWQ3503"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|40|0|||"No restrictions. The roadway is bare and wet with slush in places"|"Traction Tires Advised, Oversize Vehicles Prohibited. The roadway is bare and wet with slush in places"|2|"37 men and 3 women off the bus."|"https://flightaware.com/live/flight/SWQ3501/history/20191223/1430Z/KIWA/KYKM"
"Monday, December 30, 2019"|45|"SWQ3501"|"N277EA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|32|0|||"No restrictions. The roadway is bare and wet."|"No restrictions. The roadway is bare and wet."|2|"31 men and 1 women gor off the bus. No one got off the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20191230/1436Z/KIWA/KYKM"
"Tuesday, January 7, 2020"|46|"SWQ3501"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|43|1|||"No restrictions. The roadway is bare and wet, areas of standing water"|"Traction Tires Advised. The roadway is bare and wet, slush in places"|2|"34 men and 9 women boarded the plane and one man got off the plane. A big generator was parked mid-field and running (noisily) before the plane even landed. Mid-transfer one McCormick Air employee came over and turned it off. We couldn't see that it was connected to anything, just sitting on the tarmac and turned on to cover our voices."|"https://flightaware.com/live/flight/SWQ3501/history/20200107/1430Z/KIWA/KYKM"
"Tuesday, January 14, 2020"||"SWQ3501"||"FLIGHT CANCELLED after flight plan was filed"||||||||"Chains required on all vehicles except all wheel drive, There is compact snow and ice on the roadway. Travelers are experiencing up to 30 minutes of added travel time. I-90 westbound closure update, milepost 106 near Ellensburg remains closed due to a collision at milepost 90. Alternate route is US-97 to SR-970 through Cle Elum. Snowing hard at times with poor visibility"|"Traction Tires Advised. There is compact snow and slush on the roadway - Snowing!"|||
"Tuesday, January 21, 2020"|47|"SWQ3501"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|88|1|||"Traction Tires advised. Snow and slush on the roadway. "|"Snow and slush on the roadway. Traction tires advised,"|3|"80 men and 8 women boarded the plane and 1 man deplaned and boarded the buses. Buses:15944RP, 15941RP, 72715RP"|"https://flightaware.com/live/flight/SWQ3501/history/20200121/1430Z/KIWA/KYKM"
"Tuesday, January 28, 2020"|48|"SWQ3501"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|34|14|||"Snow and slush on the roadway. Traction tires required,"|"Snow and slush on the roadway. Traction tires advised,"|2|"14 Trans Women off plane, 31 men off bus, 3 women off the bus.  They put the trans women on the women's bus. Buses:  15941RP - women on this bus, 15944RP"|"https://flightaware.com/live/flight/SWQ3501/history/20200128/1437Z/KIWA/KYKM"
"Tuesday, February 4, 2020"|49|"SWQ3501"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|48|1|||"The roadway is bare and wet, ice in places. No restrictions."|"The roadway is bare and dry, wet in places. No restrictions."|2|"42 men and 6 women got off the buses and one man got off the plane. Buses:  15941RP and 15944RP"|"https://flightaware.com/live/flight/SWQ3501/history/20200204/1430Z/KIWA/KYKM"
"Tuesday, February 11, 2020"|50|"SWQ3501"|"N277EA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|37|0|||"The roadway is bare and dry, wet in places. No restrictions."|"The roadway is bare and dry, wet in places. No restrictions."|1|"36 men and 5 women got off the bus and boarded the plane.  "|"https://flightaware.com/live/flight/SWQ3501/history/20200211/1430Z/KIWA/KYKM"
"Tuesday, February 18, 2020"|51|"SWQ3522"|"N276EA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|39|1|||"The roadway is mostly bare and dry, ice in places. No restrictions."|"The roadway is mostly bare and wet. No restrictions."|1|"36 men and 3 women boarded the plane. One man deplaned and was loaded aboard a blue SUV"|"https://flightaware.com/live/flight/SWQ3522/history/20200218/1430Z/KIWA/KYKM"
"Tuesday, February 25, 2020"|52|"SWQ3501"|"N276EA"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|61|0|||" The roadway is bare and dry, wet in places with ice in places. No restrictions"|"The roadway is bare and dry. No restrictions"|2|"46 men and 5 women boarded the plane. No one was sent to Tacoma"|"https://flightaware.com/live/flight/SWQ3501/history/20200225/1430Z/KIWA/KYKM"
"Sunday, March 1, 2020"|53|"SWQ3851"||"iAero Airways "|"""Swiftflight"""|"KELP"|"KIWA"|0|133|||"The roadway is bare and wet with ice in places.. No restrictions."|"The roadway is bare and dry, wet in places. No restrictions."|3|"133 men deplaned and boarded the buses. Buses: 15941RP,  15943RP, 15944RP"|"https://flightaware.com/live/flight/SWQ3851/history/20200301/1710Z/KELP/KYKM"
"Tuesday, March 3, 2020"|54|"SWQ3501"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|48|2|||"The roadway is bare and wet. No restrictions."|"The roadway is bare and wet. No restrictions."|2|"46 men and 2 women got off the buses and boarded the plane. 1 man and 1 woman deplaned and boarded the buses to Tacoma. Buses: 15944RP,  72715RP"|"https://flightaware.com/live/flight/SWQ3515/history/20200303/1430Z/KIWA/KYKM"
"Tuesday, March 10, 2020"|55|"SWQ3504"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|47|3|||"The roadway is bare and dry. No restrictions."|"The roadway is bare and dry. No restrictions."|2|"c. Buses: 15943RP,  15941RP,  "|"https://flightaware.com/live/flight/SWQ3504/history/20200310/1400Z/KIWA/KYKM"
"Tuesday, March 17, 2020"|56|"SWQ3504"|"N529AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|33|0|||"The roadway is bare and dry. No restrictions."|"The roadway is bare and dry. No restrictions."|2|"We had 30 men and 3 women get off the bus."|"https://flightaware.com/live/flight/SWQ3504/history/20200317/1400Z/KIWA/KYKM"
