airport_code,airport_name,airport_country,airport_city,airport_state
FCBB,Maya-Maya Airport,Republic of the Congo,,
HBBA,Bujumbura International Airport,Burundi,,
FYWH,Hosea Kutako International Airport,Namibia,,
KMHR,Sacramento Mather Airport,USA,Sacramento,CA
KALB,Albany International Airport,USA,Albany,NY
NSFA,Faleolo International Airport,Samoa,,
KMDW,Chicago Midway International Airport,USA,Chicago,IL
SBCF,Tancredo Neves International Airport,Brazil,,
KNYL,Yuma MCAS/Yuma International Airport,USA,Yuma,AZ
KFTW,Fort Worth Meacham International Airport,USA,Fort Worth,TX
BKPR,Pristina International Airport,Kosovo,Pristina,
HAAB,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa,
ORBI,Baghdad International Airport,Iraq,Baghdad,
FVRG,Robert Gabriel Mugabe Airport,Zimbabwe,Harare,
GOBD,Blaise Diagne International Airport,Senegal,Diass