 "Airport Code","Country","State","City","Latitude","Longitude"
"BKPR","KS","Pristina","Slatina","42.572778","21.035833"
"EYVI","LT","Vilnius","Vilnius","54.636944","25.287778"
"FKYS","CM","Nsimalen","Nsimalen","3.7225","11.553333"
"FYWH","NA","Windhoek","Windhoek","-22.486667","17.4625"
"GQNO","MR","Nouakchott","Nouakchott","18.31","-15.969722"
"GUCY","GN","Conakry","Conakry","9.576889","-13.611961"
"GVNP","CV","Santiago","Praia","14.9242","-23.4939"
"HKJK","KE","Nairobi","Embakasi","-1.318611","36.925833"
"KAEX","US","LA","Alexandria","31.3275","-92.548611"
"KBFI","US","WA","Seattle","47.5299722","-122.3019444"
"KBFL","US","CA","Oildale","35.433889","-119.057778"
"KBRO","US","TX","Brownsville","25.906944","-97.425833"
"KCSG","US","GA","Columbus","32.5163333","-84.9388611"
"KELP","US","TX","El Paso","31.8073333","-106.3763611"
"KGYY","US","IN","Gary","41.616389","-87.412778"
"KHRL","US","TX","Harlingen","26.227222","-97.655"
"KIAH","US","TX","Houston","29.984444","-95.341389"
"KIWA","US","AZ","Phoenix","33.3078333","-111.6554722"
"KLAS","US","NV","Las Vegas","36.08","-115.152222"
"KLAW","US","OK","Lawton","34.567778","-98.416389"
"KLRD","US","TX","Laredo","27.543889","-99.461667"
"KMIA","US","FL","Miami","25.793333","-80.290556"
"KMWA","US","IL","Marion","37.755","-89.011111"
"KNJK","US","CA","El Centro","32.829167","-115.671667"
"KNYL","US","AZ","Yuma","32.656667","-114.606111"
"KOAK","US","CA","Oakland","37.721389","-122.220833"
"KPAE","US","WA","Snohomish County","47.906111","-122.281389"
"KPSM","US","NH","Portsmouth","43.078056","-70.823333"
"KRFD","US","IL","Rockford","42.195278","-89.097222"
"KSAN","US","CA","San Diego","32.733611","-117.189722"
"KSAT","US","TX","San Antonio","29.526667","-98.471944"
"KSDM","US","CA","San Diego","32.572222","-116.980278"
"KSEA","US","WA","Seattle","47.4498889","-122.3117778"
"KTOL","US","OH","Toledo","41.586806","-83.807833"
"KTWF","US","ID","Twin Falls","42.481667","-114.487778"
"KYKM","US","WA","Yakima","46.568056","-120.544167"
"MGGT","GT","Guatemala","Guatemala City","14.581667","-90.526667"
"MHSC","HN","Comayagua","Comayagua","14.3825","-87.621111"
"MSLP","SV","La Paz","San Luis Talpa","13.440833","-89.055556"
"OMDW","AE","Jebel Ali","Jebel Ali","24.888278","55.160378"
"ORBI","IQ","Baghdad","Baghdad","33.2625","44.234444"
"OYSN","YE",""Sana'a"",""Sana'a"","15.476389","44.219722"
"RJBB","JP","Osaka","Osaka","34.434167","135.232778"
"SAEZ","AR","Buenos Aires","Ezeiza","-34.822222","-58.535833"
"SPJC","PE","Callao","Callao","-12.021944","-77.114444"
"SYCJ","GY","Timehri","Timehri","6.498333","-58.253889"
"TXKF","BM","Hamilton","Hamilton","32.364167","-64.678611"
"UGTB","GE","Tbilisi","Tbilisi","41.6692","44.9547"
"VGHS","BD","Kurmitola","Kurmitola","23.842778","90.400556"
"ZBAA","CN","Beijing","Beijing","40.0725","116.5975"
"FLKK","ZM","Lusaka","Lusaka","-15.331667","28.434167"
"FWKI","MW","Lilongwe","Lilongwe","-13.789167","33.780833"
"KABQ","US","NM","Albuquerque","35.039333","-106.610778"
"VTBS","TH","Bangkok","Bangkok","13.6925","100.75"